run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,399,1,32,216.0,7,7,7,92
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,399,2,25,186.0,7,9,9,92
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,399,3,56,150.0,6,8,8,92
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,399,4,44,128.0,5,7,7,92
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,399,5,92,124.0,5,6,6,92
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,399,6,18,120.0,6,43,43,92
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,399,7,3,108.0,4,6,6,92
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,399,8,17,104.0,5,7,7,92
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,399,9,58,99.0,4,5,5,92
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,399,10,7,90.0,4,26,26,92
