action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,prob_delay_after,prob_speed_after,prob_reroute_after,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs
cruise_level,2,44,43,51,47,True,False,8.279900000161433,pairs_decreased,4.0,0.0,0.0,stage2_independent_matching,0,0,2-59,4,cluster,reroute,0,0.5,0.3,0.2,ADM_ref6_independent_matching,0.25,0.15,0.6,0,0,2,59,reroute,2,51,47,44,43
speed,54,43,42,47,45,True,False,8.377399999972113,pairs_decreased,2.0,0.0,0.0,stage2_independent_matching,1,0,27-54,2,crossing,speed,0,0.25,0.6,0.15,ADM_ref6_independent_matching,0.125,0.8,0.075,1,0,27,54,speed,54,47,45,43,42
speed,37,42,41,45,43,True,False,8.583499999986088,pairs_decreased,2.0,0.0,1.0,stage2_independent_matching,2,0,37-76,2,crossing,speed,0,0.125,0.8,0.075,ADM_ref6_independent_matching,0.0625,0.9,0.0375,2,0,37,76,speed,37,45,43,42,41
cruise_level,42,41,40,43,41,True,False,9.858500000063941,pairs_decreased,2.0,0.0,0.0,stage2_independent_matching,3,0,42-78,2,cluster,reroute,0,0.25,0.15,0.6,ADM_ref6_independent_matching,0.125,0.075,0.8,3,0,42,78,reroute,42,43,41,41,40
speed,77,40,40,41,42,False,True,10.63430000021981,rollback,2.0,3.0,0.0,stage2_independent_matching,4,0,55-77,2,head_to_head,speed,0,0.15,0.15,0.7,ADM_ref6_independent_matching,,,,4,0,55,77,speed,77,41,42,40,40
speed,77,40,40,41,42,False,True,9.690899999895919,rollback,2.0,3.0,0.0,stage2_independent_matching,4,0,55-77,2,head_to_head,speed,1,0.15,0.15,0.7,ADM_ref6_independent_matching,,,,4,0,55,77,speed,77,41,42,40,40
speed,77,40,40,41,41,False,True,10.733799999798066,rollback,2.0,2.0,0.0,stage2_independent_matching,4,0,55-77,2,head_to_head,speed,2,0.15,0.15,0.7,ADM_ref6_independent_matching,,,,4,0,55,77,speed,77,41,41,40,40
speed,55,40,40,41,41,False,True,16.25770000009652,rollback,2.0,2.0,0.0,stage2_independent_matching,4,0,55-77,2,head_to_head,speed,3,0.15,0.15,0.7,ADM_ref6_independent_matching,,,,4,0,55,77,speed,55,41,41,40,40
speed,55,40,40,41,42,False,True,13.136100000338047,rollback,2.0,3.0,0.0,stage2_independent_matching,4,0,55-77,2,head_to_head,speed,4,0.15,0.15,0.7,ADM_ref6_independent_matching,,,,4,0,55,77,speed,55,41,42,40,40
speed,77,40,40,41,41,False,True,10.607600000184902,rollback,2.0,2.0,1.0,stage2_independent_matching,4,0,55-77,2,head_to_head,speed,5,0.15,0.15,0.7,ADM_ref6_independent_matching,,,,4,0,55,77,speed,77,41,41,40,40
speed,77,40,40,41,41,False,True,9.111999999731779,rollback,2.0,2.0,0.0,stage2_independent_matching,4,0,55-77,2,head_to_head,speed,6,0.15,0.15,0.7,ADM_ref6_independent_matching,,,,4,0,55,77,speed,77,41,41,40,40
speed,55,40,40,41,40,False,True,13.002600000163511,rollback,2.0,0.0,1.0,stage2_independent_matching,4,0,55-77,2,head_to_head,speed,7,0.15,0.15,0.7,ADM_ref6_independent_matching,,,,4,0,55,77,speed,55,41,40,40,40
speed,55,40,41,41,41,False,True,28.32330000001093,rollback,2.0,1.0,1.0,stage2_independent_matching,4,0,55-77,2,head_to_head,speed,8,0.15,0.15,0.7,ADM_ref6_independent_matching,,,,4,0,55,77,speed,55,41,41,40,41
speed,55,40,40,41,40,False,True,13.174600000184,rollback,2.0,1.0,0.0,stage2_independent_matching,4,0,55-77,2,head_to_head,speed,9,0.15,0.15,0.7,ADM_ref6_independent_matching,,,,4,0,55,77,speed,55,41,40,40,40
cruise_level,55,40,39,41,39,True,False,10.182999999869935,pairs_decreased,2.0,0.0,0.0,stage2_independent_matching,4,0,55-77,2,head_to_head,reroute,0,0.15,0.15,0.7,ADM_ref6_independent_matching,0.075,0.075,0.85,4,0,55,77,reroute,55,41,39,40,39
cruise_level,3,39,39,39,39,False,True,10.910599999988335,rollback,1.0,0.0,1.0,stage2_independent_matching,5,0,3-65,1,head_to_head,reroute,0,0.075,0.075,0.85,ADM_ref6_independent_matching,,,,5,0,3,65,reroute,3,39,39,39,39
cruise_level,3,39,38,39,38,True,False,17.480699999850913,pairs_decreased,1.0,0.0,0.0,stage2_independent_matching,5,0,3-65,1,head_to_head,reroute,1,0.075,0.075,0.85,ADM_ref6_independent_matching,0.0375,0.0375,0.925,5,0,3,65,reroute,3,39,38,39,38
speed,6,38,37,38,37,True,False,9.03599999992366,pairs_decreased,1.0,0.0,0.0,stage2_independent_matching,6,0,6-11,1,crossing,speed,0,0.0625,0.9,0.0375,ADM_ref6_independent_matching,0.03125,0.95,0.01875,6,0,6,11,speed,6,38,37,38,37
speed,8,37,37,37,37,False,True,14.062400000057096,rollback,1.0,1.0,0.0,stage2_independent_matching,7,0,8-37,1,crossing,speed,0,0.03125,0.95,0.01875,ADM_ref6_independent_matching,,,,7,0,8,37,speed,8,37,37,37,37
speed,8,37,37,37,37,False,True,14.33050000014191,rollback,1.0,1.0,0.0,stage2_independent_matching,7,0,8-37,1,crossing,speed,1,0.03125,0.95,0.01875,ADM_ref6_independent_matching,,,,7,0,8,37,speed,8,37,37,37,37
speed,8,37,37,37,37,False,True,9.439399999791931,rollback,1.0,1.0,0.0,stage2_independent_matching,7,0,8-37,1,crossing,speed,2,0.03125,0.95,0.01875,ADM_ref6_independent_matching,,,,7,0,8,37,speed,8,37,37,37,37
speed,37,37,38,37,39,False,True,8.60529999999926,rollback,1.0,0.0,2.0,stage2_independent_matching,7,0,8-37,1,crossing,speed,3,0.03125,0.95,0.01875,ADM_ref6_independent_matching,,,,7,0,8,37,speed,37,37,39,37,38
speed,37,37,37,37,37,False,True,9.33069999973668,rollback,1.0,1.0,0.0,stage2_independent_matching,7,0,8-37,1,crossing,speed,4,0.03125,0.95,0.01875,ADM_ref6_independent_matching,,,,7,0,8,37,speed,37,37,37,37,37
