action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs,prob_delay_after,prob_speed_after,prob_reroute_after
delay,2,47,47,54,72,False,True,8.303500000238273,rollback,4.0,22.0,0.0,stage2_independent_matching,0,0,2-59,4,cluster,delay,0,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,2,54,72,47,47,,,
delay,2,47,47,54,72,False,True,7.793100000071718,rollback,4.0,22.0,0.0,stage2_independent_matching,0,0,2-59,4,cluster,delay,1,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,2,54,72,47,47,,,
delay,2,47,48,54,59,False,True,7.409800000004907,rollback,4.0,8.0,1.0,stage2_independent_matching,0,0,2-59,4,cluster,delay,2,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,2,54,59,47,48,,,
delay,2,47,47,54,72,False,True,7.408700000269164,rollback,4.0,22.0,0.0,stage2_independent_matching,0,0,2-59,4,cluster,delay,3,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,2,54,72,47,47,,,
delay,2,47,47,54,72,False,True,7.362800000009884,rollback,4.0,22.0,0.0,stage2_independent_matching,0,0,2-59,4,cluster,delay,4,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,2,54,72,47,47,,,
delay,59,47,47,54,51,False,True,7.523199999923236,rollback,4.0,0.0,3.0,stage2_independent_matching,0,0,2-59,4,cluster,delay,5,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,59,54,51,47,47,,,
delay,59,47,47,54,51,False,True,7.59539999990011,rollback,4.0,0.0,3.0,stage2_independent_matching,0,0,2-59,4,cluster,delay,6,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,59,54,51,47,47,,,
delay,59,47,47,54,51,False,True,10.204499999872496,rollback,4.0,0.0,2.0,stage2_independent_matching,0,0,2-59,4,cluster,delay,7,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,59,54,51,47,47,,,
delay,59,47,46,54,50,True,False,22.202699999979814,pairs_decreased,4.0,0.0,0.0,stage2_independent_matching,0,0,2-59,4,cluster,delay,8,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,59,54,50,47,46,0.75,0.15,0.1
delay,27,46,45,50,48,True,False,8.103900000151043,pairs_decreased,2.0,0.0,1.0,stage2_independent_matching,1,0,27-54,2,crossing,delay,0,0.25,0.6,0.15,ADM_ref6_independent_matching,1,0,27,54,delay,27,50,48,46,45,0.625,0.3,0.075
