action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs,prob_delay_after,prob_speed_after,prob_reroute_after
delay,2,47,47,54,72,False,True,12.714999999843712,rollback,4,22,0,stage2_independent_matching,0,0,2-59,4,cluster,delay,0,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,2,54,72,47,47,,,
delay,59,47,46,54,50,True,False,18.23179999973945,pairs_decreased,4,0,0,stage2_independent_matching,0,0,2-59,4,cluster,delay,1,0.5,0.3,0.2,ADM_ref6_independent_matching,0,0,2,59,delay,59,54,50,47,46,0.75,0.15,0.1
delay,27,46,45,50,49,True,False,7.52890000012485,pairs_decreased,2,2,0,stage2_independent_matching,1,0,27-54,2,crossing,delay,0,0.25,0.6,0.15,ADM_ref6_independent_matching,1,0,27,54,delay,27,50,49,46,45,0.625,0.3,0.075
speed,27,45,46,49,50,False,True,7.610999999997148,rollback,2,2,1,stage2_independent_matching,2,0,27-54,2,crossing,speed,0,0.625,0.3,0.075,ADM_ref6_independent_matching,2,0,27,54,speed,27,49,50,45,46,,,
speed,54,45,45,49,48,False,True,8.50639999998748,rollback,2,0,1,stage2_independent_matching,2,0,27-54,2,crossing,speed,1,0.625,0.3,0.075,ADM_ref6_independent_matching,2,0,27,54,speed,54,49,48,45,45,,,
speed,27,45,46,49,50,False,True,8.041799999773502,rollback,2,2,1,stage2_independent_matching,2,0,27-54,2,crossing,speed,2,0.625,0.3,0.075,ADM_ref6_independent_matching,2,0,27,54,speed,27,49,50,45,46,,,
speed,54,45,45,49,49,False,True,9.159199999885459,rollback,2,2,0,stage2_independent_matching,2,0,27-54,2,crossing,speed,3,0.625,0.3,0.075,ADM_ref6_independent_matching,2,0,27,54,speed,54,49,49,45,45,,,
speed,27,45,45,49,49,True,False,8.762499999647844,soft_decreased,2,2,0,stage2_independent_matching,2,0,27-54,2,crossing,speed,4,0.625,0.3,0.075,ADM_ref6_independent_matching,2,0,27,54,speed,27,49,49,45,45,0.3125,0.65,0.0375
speed,27,45,46,49,50,False,True,7.937300000321557,rollback,2,2,1,stage2_independent_matching,3,0,27-54,2,crossing,speed,0,0.3125,0.65,0.0375,ADM_ref6_independent_matching,3,0,27,54,speed,27,49,50,45,46,,,
speed,54,45,45,49,48,False,True,7.83850000016173,rollback,2,0,1,stage2_independent_matching,3,0,27-54,2,crossing,speed,1,0.3125,0.65,0.0375,ADM_ref6_independent_matching,3,0,27,54,speed,54,49,48,45,45,,,
speed,27,45,45,49,49,False,True,7.688300000154413,rollback,2,2,0,stage2_independent_matching,3,0,27-54,2,crossing,speed,2,0.3125,0.65,0.0375,ADM_ref6_independent_matching,3,0,27,54,speed,27,49,49,45,45,,,
speed,54,45,44,49,47,True,False,7.881799999722716,pairs_decreased,2,0,0,stage2_independent_matching,3,0,27-54,2,crossing,speed,3,0.3125,0.65,0.0375,ADM_ref6_independent_matching,3,0,27,54,speed,54,49,47,45,44,0.15625,0.825,0.01875
speed,37,44,44,47,48,False,True,7.856600000195613,rollback,2,2,0,stage2_independent_matching,4,0,37-76,2,crossing,speed,0,0.15625,0.825,0.01875,ADM_ref6_independent_matching,4,0,37,76,speed,37,47,48,44,44,,,
speed,76,44,43,47,45,True,False,7.707100000061473,pairs_decreased,2,0,0,stage2_independent_matching,4,0,37-76,2,crossing,speed,1,0.15625,0.825,0.01875,ADM_ref6_independent_matching,4,0,37,76,speed,76,47,45,44,43,0.078125,0.9125,0.009375
delay,42,43,43,45,45,False,True,7.443999999850348,rollback,2,2,0,stage2_independent_matching,5,0,42-78,2,cluster,delay,0,0.75,0.15,0.1,ADM_ref6_independent_matching,5,0,42,78,delay,42,45,45,43,43,,,
delay,78,43,42,45,43,True,False,7.405299999845738,pairs_decreased,2,0,0,stage2_independent_matching,5,0,42-78,2,cluster,delay,1,0.75,0.15,0.1,ADM_ref6_independent_matching,5,0,42,78,delay,78,45,43,43,42,0.875,0.075,0.05
cruise_level,55,42,41,43,41,True,False,8.077599999978702,pairs_decreased,2,0,0,stage2_independent_matching,6,0,55-77,2,head_to_head,reroute,0,0.15,0.15,0.7,ADM_ref6_independent_matching,6,0,55,77,reroute,55,43,41,42,41,0.075,0.075,0.85
cruise_level,3,41,41,41,41,False,True,12.085999999726482,rollback,1,0,1,stage2_independent_matching,7,0,3-65,1,head_to_head,reroute,0,0.075,0.075,0.85,ADM_ref6_independent_matching,7,0,3,65,reroute,3,41,41,41,41,,,
cruise_level,3,41,40,41,40,True,False,18.96889999989071,pairs_decreased,1,0,0,stage2_independent_matching,7,0,3-65,1,head_to_head,reroute,1,0.075,0.075,0.85,ADM_ref6_independent_matching,7,0,3,65,reroute,3,41,40,41,40,0.0375,0.0375,0.925
speed,6,40,41,40,41,False,True,8.06719999991401,rollback,1,1,1,stage2_independent_matching,8,0,6-11,1,crossing,speed,0,0.078125,0.9125,0.009375,ADM_ref6_independent_matching,8,0,6,11,speed,6,40,41,40,41,,,
speed,11,40,39,40,39,True,False,7.961799999975483,pairs_decreased,1,0,0,stage2_independent_matching,8,0,6-11,1,crossing,speed,1,0.078125,0.9125,0.009375,ADM_ref6_independent_matching,8,0,6,11,speed,11,40,39,40,39,0.0390625,0.95625,0.0046875
