run_id,segment_id,plan_a,plan_b,conflict_points,start_idx_a,end_idx_a,start_idx_b,end_idx_b,required_shift,cells
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,7,27,1,23,23,33,33,42.48714593034656,35:46:2
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,7,29,1,15,15,38,38,10.397315713520364,43:38:1
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,2,8,30,1,5,5,38,38,33.46663566019902,28:54:1
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,3,11,54,1,3,3,46,46,24.847088559723993,39:53:1
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,4,19,29,1,11,11,29,29,28.585144374241395,43:29:1
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,5,24,94,1,25,25,51,51,22.60184667971413,36:51:0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,6,30,35,1,27,27,7,7,33.12683170601028,30:43:1
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,7,33,70,1,34,34,37,37,33.997046652221584,12:27:1
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,8,46,47,1,18,18,12,12,33.92151670110012,13:36:2
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,9,47,52,1,28,28,35,35,2.7982504692224808,24:20:2
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,10,49,66,1,22,22,9,9,40.98240885726389,35:11:1
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,11,57,82,1,9,9,9,9,20.283228534437086,9:29:1
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,12,70,91,1,10,10,22,22,29.34814521903224,39:26:1
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,13,86,92,1,46,46,4,4,32.47145437560178,16:52:1
