run_id,method,final_conflicts,fitness
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,paper_two_stage_adm_fata,14,611900.4186559017
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,paper_stage1_three_strategy_fata,102,4347629.175381802
