run_id,conflict_id,plan_a,plan_b,cell_x,cell_y,cell_z,P_schedule,P_speed,P_reroute,sampled_strategy,actor_gene,selected_actor,stage2_generation,record_type
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,0,64,48,22,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,schedule,1.9999016223587915,64,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,1,96,56,25,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,reroute,1.999606489919067,96,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,2,1,96,55,24,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,speed,1.9991146041325507,96,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,3,1,85,56,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,schedule,1.9984259674187754,85,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,4,38,40,33,31,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,schedule,1.9975405831650548,40,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,5,2,53,23,31,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,schedule,1.996458455726497,53,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,6,2,53,22,30,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,speed,1.9951795904259555,53,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,7,2,53,21,29,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,speed,1.9937039935540213,53,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,8,2,26,16,29,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,schedule,1.9920316723689808,26,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,9,69,92,32,25,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,schedule,1.9901626350967732,92,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,10,11,54,39,53,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,speed,1.98809689093099,54,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,11,52,77,19,21,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,speed,1.985834450032776,77,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,12,4,95,25,16,2,0.3333333333333333,0.3333333333333333,0.3333333333333333,speed,1.983375323530808,95,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,13,5,85,49,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,schedule,1.9807195235212447,85,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,14,5,85,48,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,schedule,1.9778670630676487,85,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,15,5,85,47,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,reroute,1.974817956200937,85,1,generation_best
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,16,5,85,46,1,1,0.3333333333333333,0.3333333333333333,0.3333333333333333,speed,1.9715722179193094,85,1,generation_best
