run_id,plan_a,plan_b,conflict_points,min_time_diff,max_required_gap,cells
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,11,54,1,18.379544232187754,43.22663279191175,39:53:1
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,7,29,1,33.59339870435679,43.99071441787715,43:38:1
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,7,27,1,4.115800343158526,46.60294627350508,35:46:2
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,8,30,1,10.396668426978067,43.863304087177085,28:54:1
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,70,91,1,12.903003938907943,42.25114915794018,39:26:1
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,19,29,1,14.154586118624366,42.73973049286576,43:29:1
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,30,35,1,9.035423868194357,42.162255574204636,30:43:1
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,24,94,1,28.611196775914777,51.213043455628906,36:51:0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,46,47,1,7.7080622523674265,41.629578953467544,13:36:2
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,33,70,1,13.689875792679686,47.68692244490127,12:27:1
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,47,52,1,45.37136250103879,48.16961297026127,24:20:2
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,49,66,1,1.1312050855378857,42.11361394280178,35:11:1
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,57,82,1,19.718426643436942,40.00165517787403,9:29:1
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,86,92,1,14.997243962796574,47.468698338398355,16:52:1
