run_id,flight_id,is_key_flight,stage1_strategy,stage2_schedule_conflict_count,stage2_speed_conflict_count,stage2_reroute_conflict_count,final_strategy_combination,stage1_schedule,stage1_speed,stage1_reroute,stage2_schedule,stage2_speed,stage2_reroute,final_schedule,final_speed,final_reroute,final_uses_schedule,final_uses_speed,final_uses_reroute
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,2,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,3,1,speed,0,0,0,speed,0,1,0,0,0,0,0,1,0,0,1,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,4,1,schedule,0,0,0,schedule,1,0,0,0,0,0,1,0,0,1,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,5,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,6,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,7,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,8,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,9,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,10,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,11,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,12,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,13,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,14,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,15,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,16,1,reroute,0,0,0,reroute,0,0,1,0,0,0,0,0,1,0,0,1
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,17,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,18,1,schedule,0,0,0,schedule,1,0,0,0,0,0,1,0,0,1,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,19,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,20,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,21,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,22,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,23,0,none,1,1,0,schedule+speed,0,0,0,1,1,0,1,1,0,1,1,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,24,0,none,1,0,1,schedule+reroute,0,0,0,1,0,1,1,0,1,1,0,1
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,25,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,26,0,none,2,0,0,schedule,0,0,0,1,0,0,1,0,0,1,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,27,0,none,0,1,0,speed,0,0,0,0,1,0,0,1,0,0,1,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,28,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,29,0,none,0,2,0,speed,0,0,0,0,1,0,0,1,0,0,1,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,30,0,none,0,1,0,speed,0,0,0,0,1,0,0,1,0,0,1,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,31,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,32,0,none,0,0,1,reroute,0,0,0,0,0,1,0,0,1,0,0,1
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,33,0,none,0,0,1,reroute,0,0,0,0,0,1,0,0,1,0,0,1
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,34,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,35,0,none,0,1,0,speed,0,0,0,0,1,0,0,1,0,0,1,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,36,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,37,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,38,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,39,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,40,0,none,1,0,0,schedule,0,0,0,1,0,0,1,0,0,1,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,41,1,schedule,0,0,0,schedule,1,0,0,0,0,0,1,0,0,1,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,42,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,43,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,44,0,none,0,1,1,speed+reroute,0,0,0,0,1,1,0,1,1,0,1,1
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,45,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,46,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,47,0,none,0,1,0,speed,0,0,0,0,1,0,0,1,0,0,1,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,48,0,none,1,0,0,schedule,0,0,0,1,0,0,1,0,0,1,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,49,1,schedule,0,0,0,schedule,1,0,0,0,0,0,1,0,0,1,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,50,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,51,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,52,0,none,0,0,0,none,0,0,0,0,0,0,0,0,0,0,0,0
