run_id,global_generation,stage,stage_generation,fitness,Nc,Tdelay,Tair,ORISK,delta,n_delay,n_battery
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,1,stage1,1,5081771.151355173,107,3443.9518070215813,59326.16088141917,1132.7589633224648,0.99999999968,2,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,2,stage1,2,5081771.100978245,107,3443.9518070215813,59326.16088141917,1132.7589633224648,0.99999998976,2,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,3,stage1,3,5081770.758090122,107,3443.9518070215813,59326.16088141917,1132.7589633224648,0.99999992224,2,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,4,stage1,4,5081769.488916543,107,3443.9518070215813,59326.16088141917,1132.7589633224648,0.99999967232,2,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,5,stage1,5,5072666.465021695,107,4511.427842719614,59219.29367256458,1134.597459405399,0.999999,2,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,6,stage1,6,5072658.920472311,107,4511.427842719614,59219.29367256458,1134.597459405399,0.99999751168,2,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,7,stage1,7,5072644.270972098,107,4511.427842719614,59219.29367256458,1134.597459405399,0.99999462176,2,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,8,stage1,8,5037428.267242591,106,6058.323373311613,59360.798992511554,1143.3973349137093,0.99998951424,3,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,9,stage1,9,4900328.729860055,103,3375.4561962510434,59426.78757214501,1138.494747440336,0.99998110432,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,10,stage1,10,4900264.561054443,103,3375.4561962510434,59426.78757214501,1138.494747440336,0.999968,4,0
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,11,stage1,11,4900168.896241584,103,3375.4561962510434,59426.78757214501,1138.494747440336,0.99994846368,4,0
