run_id,generation,conflict_id,P_schedule,P_speed,P_reroute
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,0,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,1,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,2,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,3,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,4,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,5,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,6,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,7,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,8,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,9,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,10,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,11,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,12,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,13,0.3333333333333333,0.3333333333333333,0.3333333333333333
20260912_174204_152_paper_strict_raw_equation_seed2025_01f04b03,0,14,0.3333333333333333,0.3333333333333333,0.3333333333333333
