run_id,grid_x,grid_y,grid_z,distinct_flight_count
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,2,27,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,2,30,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,2,34,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,2,36,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,2,42,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,2,43,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,2,44,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,2,45,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,2,46,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,2,46,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,2,47,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,2,48,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,2,49,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,2,50,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,2,51,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,2,52,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,2,54,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,2,57,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,3,9,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,3,11,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,3,17,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,3,23,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,3,27,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,3,28,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,3,29,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,3,31,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,3,32,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,3,33,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,3,35,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,3,46,1,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,3,48,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,3,49,0,3
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,3,50,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,3,51,0,2
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,3,53,0,3
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,4,8,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,4,10,0,1
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,4,11,0,3
