run_id,flight_id,degree,collective_influence,conflict_point_involvement,is_ci_top10
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,55,3,16.0,3,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,56,4,18.0,7,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,57,2,4.0,2,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,58,0,0.0,0,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,59,1,0.0,1,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,60,1,0.0,1,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,61,0,0.0,0,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,62,0,0.0,0,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,63,2,15.0,2,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,64,1,0.0,1,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,65,1,0.0,14,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,66,1,0.0,11,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,67,1,0.0,1,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,68,4,18.0,4,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,69,0,0.0,0,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,70,3,22.0,3,True
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,71,2,11.0,2,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,72,2,7.0,2,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,73,0,0.0,0,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,74,1,0.0,1,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,75,3,8.0,6,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,76,0,0.0,0,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,77,1,0.0,1,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,78,0,0.0,0,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,79,1,0.0,1,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,80,0,0.0,0,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,81,2,11.0,2,False
20260912_204521_454_network_reference28_gravity_meter_env2025_traffic2025_856707b5,82,0,0.0,0,False
