schedule,speed,reroute
9.99999999999e-13,0.9999999999979999,9.99999999999e-13
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
9.99999999999e-13,0.9999999999979999,9.99999999999e-13
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
9.999999999990001e-13,0.999999999998,9.999999999990001e-13
9.99999999999e-13,0.9999999999979999,9.99999999999e-13
9.99999999999e-13,9.99999999999e-13,0.9999999999979999
9.99999999999e-13,0.9999999999979999,9.99999999999e-13
0.999999999998,9.999999999990001e-13,9.999999999990001e-13
9.999999999990001e-13,0.999999999998,9.999999999990001e-13
0.999999999998,9.999999999990001e-13,9.999999999990001e-13
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
0.999999999998,9.999999999990001e-13,9.999999999990001e-13
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
9.999999999990001e-13,0.999999999998,9.999999999990001e-13
9.99999999999e-13,0.9999999999979999,9.99999999999e-13
0.999999999998,9.999999999990001e-13,9.999999999990001e-13
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
9.99999999999e-13,0.9999999999979999,9.99999999999e-13
9.999999999995e-13,0.00017011344516386834,0.9998298865538361
9.99999999999e-13,0.9999999999979999,9.99999999999e-13
9.99999999999e-13,0.9999999999979999,9.99999999999e-13
0.999999999998,9.999999999990001e-13,9.999999999990001e-13
9.999999999990001e-13,0.999999999998,9.999999999990001e-13
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
0.999999999998,9.999999999990001e-13,9.999999999990001e-13
0.999999999998,9.999999999990001e-13,9.999999999990001e-13
9.99999999999e-13,9.99999999999e-13,0.9999999999979999
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
9.999999999990001e-13,0.999999999998,9.999999999990001e-13
0.999999999998,9.999999999990001e-13,9.999999999990001e-13
0.999999999998,9.999999999990001e-13,9.999999999990001e-13
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
9.999999999995e-13,0.9999832398182481,1.6760180751871484e-05
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
9.99999999999e-13,9.99999999999e-13,0.9999999999979999
9.99999999999e-13,0.9999999999979999,9.99999999999e-13
0.999999999998,9.999999999990001e-13,9.999999999990001e-13
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
0.999999999998,9.999999999990001e-13,9.999999999990001e-13
0.999999999998,9.999999999990001e-13,9.999999999990001e-13
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
9.99999999999e-13,0.9999999999979999,9.99999999999e-13
9.999999999990001e-13,9.999999999990001e-13,0.999999999998
9.999999999990001e-13,9.999999999990001e-13,0.999999999998
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
9.99999999999e-13,9.99999999999e-13,0.9999999999979999
0.999999999998,9.999999999990001e-13,9.999999999990001e-13
9.999999999990001e-13,9.999999999990001e-13,0.999999999998
9.999999999990001e-13,9.999999999990001e-13,0.999999999998
0.999999999998,9.999999999990001e-13,9.999999999990001e-13
9.99999999999e-13,0.9999999999979999,9.99999999999e-13
9.999999999990001e-13,0.999999999998,9.999999999990001e-13
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
9.999999999990001e-13,9.999999999990001e-13,0.999999999998
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
9.999999999990001e-13,9.999999999990001e-13,0.999999999998
0.999999999998,9.999999999990001e-13,9.999999999990001e-13
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
0.9999999999979999,9.99999999999e-13,9.99999999999e-13
