generation,population_size,accepted_trials,rolled_back_trials,acceptance_rate,best_conflict_pairs,best_conflict_points,best_fitness,mean_conflict_pairs,mean_conflict_points,best_conflict_lexicographic_pairs,best_conflict_lexicographic_points,adm_learning_samples,rollback_due_to_pair_increase,rollback_due_to_point_increase,rollback_due_to_fitness_worse,new_pair_trials_rejected,rejected_lower_risk_equal_conflicts,rollback_due_to_infeasible_route,exact_survivors,moved_same_pair,new_conflict_pairs,new_conflict_points,resolved_original_conflicts
1,50,0,0,,29,36,1710232.515972914,44.8,68.0,29,36,5,0,0,0,0,0,0,10,6,16,20,48
2,50,7,43,0.14,31,34,1645618.6653854027,38.63636363636363,58.81818181818182,28,35,7,0,0,0,0,0,43,10,4,18,20,48
3,50,6,44,0.12,31,34,1645618.6652772948,42.588235294117645,62.94117647058823,28,35,6,2,0,0,2,0,42,10,4,18,20,48
4,50,2,48,0.04,31,34,1645618.6648771416,41.111111111111114,61.22222222222222,28,35,2,1,0,0,1,0,47,10,4,18,20,48
5,50,1,49,0.02,31,34,1645618.663800673,41.26315789473684,62.0,28,35,1,0,0,0,0,0,49,10,4,18,20,48
6,50,2,48,0.04,31,34,1645618.6614176864,40.8,64.6,28,35,2,0,0,0,0,0,48,10,4,18,20,48
7,50,5,45,0.1,22,25,1206304.4717587396,38.81818181818182,64.5909090909091,22,25,5,1,0,0,1,0,44,8,4,13,13,50
8,50,6,44,0.12,20,24,1150306.3044400718,38.0,61.19230769230769,20,24,6,0,0,0,0,0,44,9,4,10,11,49
9,50,4,46,0.08,20,24,1150306.295050284,39.7,63.733333333333334,20,24,4,3,0,0,3,0,43,9,4,10,11,49
10,50,6,44,0.12,20,24,1150306.280419136,39.84848484848485,64.0,20,24,6,4,0,0,4,0,40,9,4,10,11,49
11,50,11,39,0.22,20,24,1150306.2586065743,38.833333333333336,62.02777777777778,20,24,10,4,0,0,4,0,35,9,4,10,11,49
12,50,11,39,0.22,20,24,1150306.2272438046,39.04761904761905,63.833333333333336,20,24,10,5,1,0,6,0,33,9,4,10,11,49
13,50,12,38,0.24,20,24,1150306.1834904165,35.86046511627907,57.372093023255815,20,24,10,1,0,0,1,0,37,9,4,10,11,49
14,50,8,42,0.16,20,24,1150306.1239915108,34.0,54.95348837209303,20,24,8,6,0,0,6,0,36,9,4,10,11,49
15,50,8,42,0.16,20,24,1150306.0448348252,33.11363636363637,53.34090909090909,20,24,8,8,0,0,8,0,34,9,4,10,11,49
16,50,10,40,0.2,20,24,1150305.941507859,32.46808510638298,52.02127659574468,20,24,10,8,0,0,8,0,32,9,4,10,11,49
17,50,8,42,0.16,20,24,1150305.8088550009,32.265306122448976,50.755102040816325,20,24,8,9,0,0,9,0,33,9,4,10,11,49
18,50,6,44,0.12,20,24,1150305.6410346525,31.122448979591837,48.42857142857143,20,24,6,11,0,0,11,0,33,9,4,10,11,49
19,50,9,41,0.18,20,24,1150305.4314763565,30.38,48.1,20,24,9,13,1,0,14,0,27,9,4,10,11,49
20,50,2,48,0.04,20,24,1150305.1728379212,30.18,48.74,17,59,2,23,0,0,23,0,25,9,4,10,11,49
21,50,6,44,0.12,19,22,1051356.173158729,29.52,48.0,17,59,6,14,0,0,14,0,30,8,3,10,11,50
22,50,5,45,0.1,19,22,1051355.824214163,29.02,47.1,17,59,5,11,0,0,11,0,34,8,3,10,11,50
23,50,8,42,0.16,19,22,1051355.4057176139,28.24,45.8,17,59,8,12,0,0,12,0,30,8,3,10,11,50
24,50,3,47,0.06,19,22,1051354.9077540569,28.06,45.68,17,59,3,13,0,0,13,0,34,8,3,10,11,50
25,50,2,48,0.04,19,22,1051354.3195079928,27.94,44.98,17,59,2,13,1,0,14,0,34,8,3,10,11,50
26,50,4,46,0.08,19,22,1051353.6292242946,27.26,44.52,17,59,4,10,0,0,10,0,36,8,3,10,11,50
27,50,1,49,0.02,19,22,1051352.824169057,27.24,44.54,17,59,1,18,0,0,18,0,31,8,3,10,11,50
28,50,2,48,0.04,19,22,1051351.8905904451,26.98,45.0,17,59,2,16,0,0,16,0,32,8,3,10,11,50
29,50,3,47,0.06,19,22,1051350.813679544,26.7,45.4,17,59,3,18,1,0,19,0,28,8,3,10,11,50
30,50,3,47,0.06,19,22,1051349.577531207,26.52,45.04,17,59,3,18,1,0,19,0,28,8,3,10,11,50
31,50,2,48,0.04,19,22,1051348.165104904,26.34,45.08,17,59,2,20,0,0,20,0,28,8,3,10,11,50
32,50,1,49,0.02,19,22,1051346.558185572,26.26,44.98,17,59,1,14,0,0,14,0,35,8,3,10,11,50
33,50,4,46,0.08,19,22,1051344.7373444622,25.96,44.96,17,59,4,17,0,0,17,0,29,8,3,10,11,50
34,50,4,46,0.08,19,22,1051342.6818999897,25.78,45.04,17,59,4,14,0,0,14,0,32,8,3,10,11,50
35,50,3,47,0.06,19,22,1051340.369878583,25.68,45.34,17,59,3,16,0,0,16,0,31,8,3,10,11,50
36,50,5,45,0.1,19,22,1051337.7779755306,25.32,46.28,17,59,5,14,0,0,14,0,31,8,3,10,11,50
37,50,2,48,0.04,19,22,1051334.8815158333,25.3,47.04,17,59,2,16,2,0,18,0,30,8,3,10,11,50
38,50,1,49,0.02,19,22,1051331.65441505,25.26,47.56,17,59,1,21,0,0,21,0,28,8,3,10,11,50
39,50,0,50,0.0,19,22,1051328.069140148,25.26,47.56,17,59,0,25,0,0,25,0,25,8,3,10,11,50
40,50,0,50,0.0,19,22,1051324.096670352,25.26,47.56,17,59,0,18,0,0,18,0,32,8,3,10,11,50
41,50,3,47,0.06,19,22,1051319.706457992,25.14,46.64,17,59,3,16,0,0,16,0,31,8,3,10,11,50
42,50,3,47,0.06,19,22,1051314.8663893533,24.9,46.42,17,59,3,16,0,0,16,0,31,8,3,10,11,50
43,50,2,48,0.04,19,22,1051309.5427455243,24.84,46.9,17,59,2,18,0,0,18,0,30,8,3,10,11,50
44,50,1,49,0.02,19,22,1051303.7001632468,24.82,46.86,17,59,1,15,1,0,16,0,33,8,3,10,11,50
45,50,0,50,0.0,19,22,1051297.3015957633,24.82,46.86,17,59,0,20,0,0,20,0,30,8,3,10,11,50
46,50,2,48,0.04,19,22,1051290.308273666,24.56,46.68,17,59,2,20,0,0,20,0,28,8,3,10,11,50
47,50,3,47,0.06,19,22,1051282.679665748,24.36,45.72,17,59,3,15,2,0,17,0,30,8,3,10,11,50
48,50,1,49,0.02,19,22,1051274.3734398482,24.34,45.74,17,59,1,25,0,0,25,0,24,8,3,10,11,50
49,50,0,50,0.0,19,22,1051265.3454237045,24.34,45.74,17,59,0,17,0,0,17,0,33,8,3,10,11,50
50,50,1,49,0.02,19,22,1051255.5495657986,24.3,46.0,17,59,1,17,0,0,17,0,32,8,3,10,11,50
51,50,2,48,0.04,19,22,1051244.9378962086,24.06,44.72,17,59,2,15,1,0,16,0,32,8,3,10,11,50
52,50,2,48,0.04,19,22,1051233.4604874542,23.98,44.68,17,59,2,18,0,0,18,0,30,8,3,10,11,50
53,50,1,49,0.02,19,22,1051221.065415349,23.94,45.1,17,59,1,17,0,0,17,0,32,8,3,10,11,50
54,50,1,49,0.02,19,22,1051207.6987198472,23.92,45.1,17,59,1,15,1,0,16,0,33,8,3,10,11,50
55,50,2,48,0.04,19,22,1051193.304365893,23.74,45.4,16,28,2,24,0,0,24,0,24,8,3,10,11,50
56,50,0,50,0.0,19,22,1051177.824204269,23.74,45.4,16,28,0,19,1,0,20,0,30,8,3,10,11,50
57,50,3,47,0.06,19,22,1051161.1979324473,23.6,45.74,16,28,3,13,0,0,13,0,34,8,3,10,11,50
58,50,0,50,0.0,19,22,1051143.363055435,23.6,45.74,16,28,0,14,1,0,15,0,35,8,3,10,11,50
59,50,3,47,0.06,19,22,1051124.2548466255,23.54,44.72,16,28,3,20,0,0,20,0,27,8,3,10,11,50
60,50,1,49,0.02,19,22,1051103.8063086465,23.5,43.84,16,28,1,21,0,0,21,0,28,8,3,10,11,50
61,50,0,50,0.0,19,22,1051081.948134209,23.5,43.84,16,28,0,22,0,0,22,0,28,8,3,10,11,50
62,50,2,48,0.04,19,22,1051058.608666956,23.42,43.58,16,28,2,27,0,0,27,0,21,8,3,10,11,50
63,50,2,48,0.04,18,22,1043302.2759540983,23.16,43.16,16,28,2,21,0,0,21,0,27,10,1,9,11,48
64,50,3,47,0.06,18,22,1043275.9528545799,23.06,43.0,16,28,3,26,0,0,26,0,21,10,1,9,11,48
65,50,0,50,0.0,18,22,1043247.9321322617,23.06,43.0,16,28,0,17,0,0,17,0,33,10,1,9,11,48
66,50,0,50,0.0,18,22,1043218.1329678502,23.06,43.0,16,28,0,16,0,0,16,0,34,10,1,9,11,48
67,50,0,50,0.0,18,22,1043186.4720167533,23.06,43.0,16,28,0,16,0,0,16,0,34,10,1,9,11,48
68,50,0,50,0.0,18,22,1043152.8633702281,23.06,43.0,16,28,0,16,1,0,17,0,33,10,1,9,11,48
69,50,0,50,0.0,18,22,1043117.2185165314,23.06,43.0,16,28,0,23,0,0,23,0,27,10,1,9,11,48
70,50,1,49,0.02,18,22,1043079.4463020678,22.98,43.54,16,28,1,17,0,0,17,0,32,10,1,9,11,48
71,50,1,49,0.02,18,22,1043039.4528925399,22.96,43.56,16,28,1,23,1,0,24,0,25,10,1,9,11,48
72,50,0,50,0.0,18,22,1042997.1417340968,22.96,43.56,16,28,0,17,0,0,17,0,33,10,1,9,11,48
73,50,0,50,0.0,18,22,1042952.413514484,22.96,43.56,16,28,0,22,0,0,22,0,28,10,1,9,11,48
74,50,0,50,0.0,18,22,1042905.1661241916,22.96,43.56,16,28,0,25,1,0,26,0,24,10,1,9,11,48
75,50,1,49,0.02,18,22,1042855.2946176054,22.92,43.5,16,28,1,20,0,0,20,0,29,10,1,9,11,48
76,50,0,50,0.0,18,22,1042802.6911741534,22.92,43.5,16,28,0,23,0,0,23,0,27,10,1,9,11,48
77,50,1,49,0.02,18,22,1042747.2450594581,22.92,43.18,16,28,1,20,0,0,20,0,29,10,1,9,11,48
78,50,0,50,0.0,18,22,1042688.8425864836,22.92,43.18,16,28,0,24,0,0,24,0,26,10,1,9,11,48
79,50,1,49,0.02,18,22,1042627.3670766853,22.9,42.42,16,28,1,19,0,1,20,0,29,10,1,9,11,48
80,50,0,50,0.0,18,22,1042562.6988211598,22.9,42.42,16,28,0,16,0,0,16,0,34,10,1,9,11,48
81,50,0,50,0.0,18,22,1042494.7150417931,22.9,42.42,16,28,0,19,0,0,19,0,31,10,1,9,11,48
82,50,0,50,0.0,18,22,1042423.2898524115,22.9,42.42,16,28,0,27,0,0,27,0,23,10,1,9,11,48
83,50,0,50,0.0,18,22,1042348.2942199284,22.9,42.42,16,28,0,19,0,0,19,0,31,10,1,9,11,48
84,50,1,49,0.02,18,22,1042269.5959254957,22.86,42.68,16,28,1,20,0,0,20,0,29,10,1,9,11,48
85,50,1,49,0.02,18,22,1042187.0595256522,22.84,42.58,16,28,1,18,0,0,18,0,31,10,1,9,11,48
86,50,1,49,0.02,18,22,1042100.5463134726,22.82,42.56,16,28,1,25,0,0,25,0,24,10,1,9,11,48
87,50,3,47,0.06,18,22,1042009.9142797169,22.58,42.8,16,28,3,19,0,0,19,0,28,10,1,9,11,48
88,50,0,50,0.0,18,22,1041915.0180739807,22.58,42.8,16,28,0,20,0,0,20,0,30,10,1,9,11,48
89,50,1,49,0.02,18,22,1041815.7089658423,22.56,42.24,16,28,1,21,0,0,21,0,28,10,1,9,11,48
90,50,0,50,0.0,18,22,1041711.8348060136,22.56,42.24,16,28,0,18,0,0,18,0,32,10,1,9,11,48
91,50,0,50,0.0,18,22,1041603.2399874892,22.56,42.24,16,28,0,25,0,0,25,0,25,10,1,9,11,48
92,50,1,49,0.02,18,22,1041489.765406695,22.56,42.22,16,28,1,19,0,0,19,0,30,10,1,9,11,48
93,50,0,50,0.0,18,22,1041371.2484246377,22.56,42.22,16,28,0,23,0,0,23,0,27,10,1,9,11,48
94,50,2,48,0.04,18,22,1041247.522828054,22.5,42.48,16,28,2,20,0,0,20,0,28,10,1,9,11,48
95,50,0,50,0.0,18,22,1041118.4187905608,22.5,42.48,16,28,0,23,0,0,23,0,27,10,1,9,11,48
96,50,3,47,0.06,18,22,1040983.7628338023,22.3,42.5,16,28,3,22,0,0,22,0,25,10,1,9,11,48
97,50,1,49,0.02,18,22,1040843.3777886014,22.3,42.46,16,28,1,21,0,0,21,0,28,10,1,9,11,48
98,50,0,50,0.0,18,22,1040697.0827561079,22.3,42.46,16,28,0,15,0,0,15,0,35,10,1,9,11,48
99,50,1,49,0.02,18,22,1040544.6930689476,22.3,42.44,16,28,1,20,0,0,20,0,29,10,1,9,11,48
100,50,0,50,0.0,18,22,1040386.020252372,22.3,42.44,16,28,0,18,0,0,18,0,32,10,1,9,11,48
101,50,1,49,0.02,18,22,1040220.8719854079,22.22,42.26,16,28,1,20,0,0,20,0,29,10,1,9,11,48
102,50,0,50,0.0,18,22,1040049.0520620052,22.22,42.26,16,28,0,20,0,0,20,0,30,10,1,9,11,48
103,50,1,49,0.02,18,22,1039870.3603521872,22.2,42.06,16,28,1,19,0,0,19,0,30,10,1,9,11,48
104,50,1,49,0.02,18,22,1039684.592763201,22.18,41.54,16,28,1,26,0,0,26,0,23,10,1,9,11,48
105,50,0,50,0.0,18,22,1039491.5412006634,22.18,41.54,16,28,0,19,0,0,19,0,31,10,1,9,11,48
106,50,1,49,0.02,18,22,1039290.9935297138,22.12,41.64,16,28,1,18,0,0,18,0,31,10,1,9,11,48
107,50,0,50,0.0,18,22,1039082.7335361611,22.12,41.64,16,28,0,17,0,0,17,0,33,10,1,9,11,48
108,50,1,49,0.02,18,22,1038866.540887634,22.1,41.62,16,28,1,21,0,0,21,0,28,10,1,9,11,48
