generation,fitness
1,1710232.515972914
2,1645618.6653854027
3,1645618.6652772948
4,1645618.6648771416
5,1645618.663800673
6,1645618.6614176864
7,1206304.4717587396
8,1150306.3044400718
9,1150306.295050284
10,1150306.280419136
11,1150306.2586065743
12,1150306.2272438046
13,1150306.1834904165
14,1150306.1239915108
15,1150306.0448348252
16,1150305.941507859
17,1150305.8088550009
18,1150305.6410346525
19,1150305.4314763565
20,1150305.1728379212
21,1051356.173158729
22,1051355.824214163
23,1051355.4057176139
24,1051354.9077540569
25,1051354.3195079928
26,1051353.6292242946
27,1051352.824169057
28,1051351.8905904451
29,1051350.813679544
30,1051349.577531207
31,1051348.165104904
32,1051346.558185572
33,1051344.7373444622
34,1051342.6818999897
35,1051340.369878583
36,1051337.7779755306
37,1051334.8815158333
38,1051331.65441505
39,1051328.069140148
40,1051324.096670352
41,1051319.706457992
42,1051314.8663893533
43,1051309.5427455243
44,1051303.7001632468
45,1051297.3015957633
46,1051290.308273666
47,1051282.679665748
48,1051274.3734398482
49,1051265.3454237045
50,1051255.5495657986
51,1051244.9378962086
52,1051233.4604874542
53,1051221.065415349
54,1051207.6987198472
55,1051193.304365893
56,1051177.824204269
57,1051161.1979324473
58,1051143.363055435
59,1051124.2548466255
60,1051103.8063086465
61,1051081.948134209
62,1051058.608666956
63,1043302.2759540983
64,1043275.9528545799
65,1043247.9321322617
66,1043218.1329678502
67,1043186.4720167533
68,1043152.8633702281
69,1043117.2185165314
70,1043079.4463020678
71,1043039.4528925399
72,1042997.1417340968
73,1042952.413514484
74,1042905.1661241916
75,1042855.2946176054
76,1042802.6911741534
77,1042747.2450594581
78,1042688.8425864836
79,1042627.3670766853
80,1042562.6988211598
81,1042494.7150417931
82,1042423.2898524115
83,1042348.2942199284
84,1042269.5959254957
85,1042187.0595256522
86,1042100.5463134726
87,1042009.9142797169
88,1041915.0180739807
89,1041815.7089658423
90,1041711.8348060136
91,1041603.2399874892
92,1041489.765406695
93,1041371.2484246377
94,1041247.522828054
95,1041118.4187905608
96,1040983.7628338023
97,1040843.3777886014
98,1040697.0827561079
99,1040544.6930689476
100,1040386.020252372
101,1040220.8719854079
102,1040049.0520620052
103,1039870.3603521872
104,1039684.592763201
105,1039491.5412006634
106,1039290.9935297138
107,1039082.7335361611
108,1038866.540887634
109,1038642.1910947294
110,1038409.4554721628
111,1038168.1010999162
112,1037917.8907843884
113,1037658.5830195441
114,1037389.9319480624
115,1037111.6873224868
116,1036823.5944663744
117,1036525.3942354443
118,1036216.822978728
119,1035897.612499718
120,1035567.4900175169
121,1035226.1781279874
122,1034873.3947649003
123,1034508.8531610853
124,1034132.2618095786
125,1033743.3244247736
126,1033341.739903569
127,1032927.2022865185
128,1032499.4007189808
129,1032058.0194122674
130,1031602.7376047925
131,1031133.2295232228
132,1030649.164343626
133,1030150.20615262
134,1029636.0139085229
135,891156.0815982898
136,890684.0430897741
137,890197.9150391853
138,889697.3843625785
139,889182.1333719562
140,888651.8397416628
141,888106.1764747786
142,887544.811869512
143,886967.4094855955
144,886373.628110678
145,885763.1217267191
146,885135.5394763823
147,884490.5256294294
148,883827.7195491148
149,883146.7556585775
150,882447.2634072371
151,881728.8672371852
152,880991.1865495816
153,880233.8356710462
154,879456.4238200536
155,878658.555073327
156,877839.8283322316
157,876999.8372891685
158,876138.1703939687
159,875254.4108202863
160,874348.1364319932
161,873418.9197495721
162,872466.3279165099
163,871489.9226656937
164,870489.2602858014
165,869463.8915876976
166,868413.3618708273
167,867337.2108896086
168,866234.9728198278
169,865106.1762250318
170,863950.3440229228
171,862766.9934517521
172,861555.6360367134
173,860315.7775563368
174,859046.9180088827
175,857748.5515787356
176,856420.1666027973
177,855061.2455368818
178,853671.2649221078
179,852249.6953512933
180,627143.1526853042
181,626050.9445438082
182,624934.3306463872
183,623792.9042428924
184,622626.2540887666
185,621433.9644203498
186,620215.614930184
187,618970.7807423188
188,617699.0323876177
189,616399.935779062
190,615073.0521870579
191,613717.9382147406
192,612334.1457732809
193,610921.2220571893
194,609478.709519623
195,608006.14584769
196,606503.0639377554
197,604968.9918707462
198,561017.6387308264
199,474844.9724043104
200,389035.7487318611
