generation,population_size,accepted_trials,rolled_back_trials,acceptance_rate,best_conflict_pairs,best_conflict_points,best_fitness,mean_conflict_pairs,mean_conflict_points,best_conflict_lexicographic_pairs,best_conflict_lexicographic_points,adm_learning_samples,rollback_due_to_pair_increase,rollback_due_to_point_increase,rollback_due_to_fitness_worse,new_pair_trials_rejected,rejected_lower_risk_equal_conflicts,rollback_due_to_infeasible_route,exact_survivors,moved_same_pair,new_conflict_pairs,new_conflict_points,resolved_original_conflicts
1,50,0,0,,39,59,2808936.437664208,39.0,63.0,39,59,2,0,0,0,0,0,0,6,7,31,46,45
2,50,5,45,0.1,35,47,2195765.6344403396,40.57142857142857,64.14285714285714,32,50,5,0,0,0,0,0,45,11,4,26,32,40
3,50,5,45,0.1,30,38,1792803.7003396791,38.75,58.0,28,44,5,0,0,0,0,0,45,8,8,19,22,43
4,50,10,40,0.2,24,28,1314377.1824459918,38.04545454545455,55.54545454545455,23,28,10,0,0,0,0,0,40,10,3,13,15,41
5,50,4,46,0.08,24,28,1314377.181587148,37.68,55.52,23,28,4,0,0,0,0,0,46,10,3,13,15,41
6,50,7,43,0.14,24,28,1314377.179685918,38.9375,58.28125,23,28,7,0,0,0,0,0,43,10,3,13,15,41
7,50,8,42,0.16,24,28,1314377.1759942374,36.82857142857143,52.857142857142854,23,28,8,1,0,0,1,0,41,10,3,13,15,41
8,50,3,47,0.06,24,28,1314377.1694697202,37.189189189189186,52.24324324324324,23,28,3,2,0,0,2,0,45,10,3,13,15,41
9,50,6,44,0.12,24,28,1314377.1587266063,37.829268292682926,55.170731707317074,23,28,6,3,0,0,3,0,41,10,3,13,15,41
10,50,4,46,0.08,24,28,1314377.1419867084,37.904761904761905,57.76190476190476,23,28,4,0,1,0,1,0,45,10,3,13,15,41
11,50,6,44,0.12,24,28,1314377.1170303584,37.45652173913044,56.54347826086956,23,28,6,3,0,0,3,0,41,10,3,13,15,41
12,50,5,45,0.1,24,28,1314377.0811473532,36.680851063829785,55.40425531914894,23,28,5,4,0,0,4,0,41,10,3,13,15,41
13,50,7,43,0.14,24,28,1314377.0310879014,35.191489361702125,52.04255319148936,23,28,7,4,0,0,4,0,39,10,3,13,15,41
14,50,5,45,0.1,24,28,1314376.9630135712,35.30612244897959,52.6530612244898,23,28,5,4,2,0,6,0,39,10,3,13,15,41
15,50,5,45,0.1,24,28,1314376.8724482355,34.673469387755105,52.326530612244895,23,28,5,9,1,0,10,0,35,10,3,13,15,41
16,50,2,48,0.04,24,28,1314376.7542290187,33.93877551020408,51.44897959183673,23,28,2,12,0,0,12,0,36,10,3,13,15,41
17,50,3,47,0.06,24,28,1314376.6024572444,33.61224489795919,50.265306122448976,23,28,3,9,0,0,9,0,38,10,3,13,15,41
18,50,7,43,0.14,24,28,1314376.4104493798,33.22,48.88,23,28,7,8,0,0,8,0,35,10,3,13,15,41
19,50,3,47,0.06,24,28,1314376.170687984,33.04,48.34,23,28,3,10,0,0,10,0,37,10,3,13,15,41
20,50,2,48,0.04,25,26,1231395.5328406072,32.8,47.92,23,28,2,6,0,0,6,0,42,10,1,15,15,41
21,50,1,49,0.02,25,26,1231395.1943202112,32.78,48.1,23,28,1,7,0,0,7,0,42,10,1,15,15,41
22,50,1,49,0.02,25,26,1231394.7847990617,32.72,49.08,23,28,1,11,2,0,13,0,36,10,1,15,15,41
23,50,2,48,0.04,25,26,1231394.2936517429,32.64,50.7,23,28,2,7,0,0,7,0,41,10,1,15,15,41
24,50,4,46,0.08,25,26,1231393.709241988,32.22,49.48,23,28,4,4,0,0,4,0,42,10,1,15,15,41
25,50,0,50,0.0,25,26,1231393.0188767326,32.22,49.48,23,28,0,9,0,0,9,0,41,10,1,15,15,41
26,50,2,48,0.04,25,26,1231392.208760166,32.1,49.54,23,28,2,12,1,0,13,0,35,10,1,15,15,41
27,50,2,48,0.04,25,26,1231391.2639477847,31.98,49.2,23,28,2,10,1,0,11,0,37,10,1,15,15,41
28,50,1,49,0.02,25,26,1231390.168300442,31.94,49.22,23,28,1,7,0,0,7,0,42,10,1,15,15,41
29,50,3,47,0.06,25,26,1231388.9044384041,31.62,49.38,23,28,3,8,0,0,8,0,39,10,1,15,15,41
30,50,5,45,0.1,25,26,1231387.4536953995,31.34,48.68,23,28,5,10,1,0,11,0,34,10,1,15,15,41
31,50,2,48,0.04,25,26,1231385.796072672,31.16,49.42,23,28,2,8,0,0,8,0,40,10,1,15,15,41
32,50,3,47,0.06,25,26,1231383.9101930326,30.98,50.92,23,28,3,10,0,0,10,0,37,10,1,15,15,41
33,50,1,49,0.02,25,26,1231381.7732549133,30.94,50.12,23,28,1,11,0,0,11,0,38,10,1,15,15,41
34,50,1,49,0.02,25,26,1231379.3609864176,30.92,49.9,23,28,1,12,0,0,12,0,37,10,1,15,15,41
35,50,2,48,0.04,25,26,1231376.6475993732,30.82,49.52,23,28,2,12,1,0,13,0,35,10,1,15,15,41
36,50,2,48,0.04,25,26,1231373.6057433847,30.72,49.96,23,28,2,9,0,0,9,0,39,10,1,15,15,41
37,50,2,48,0.04,25,26,1231370.2064598862,30.48,49.64,23,28,2,6,0,0,6,0,42,10,1,15,15,41
38,50,1,49,0.02,25,26,1231366.4191361917,30.44,49.38,23,28,1,10,0,0,10,0,39,10,1,15,15,41
39,50,1,49,0.02,25,26,1231362.2114595503,30.44,49.04,23,28,1,14,0,0,14,0,35,10,1,15,15,41
40,50,1,49,0.02,25,26,1231357.5493711948,30.42,48.86,23,28,1,12,1,0,13,0,36,10,1,15,15,41
41,50,2,48,0.04,25,26,1231352.3970203975,30.28,48.28,23,28,2,11,0,0,11,0,37,10,1,15,15,41
42,50,0,50,0.0,25,26,1231346.7167185203,30.28,48.28,23,28,0,12,0,0,12,0,38,10,1,15,15,41
43,50,2,48,0.04,25,26,1231340.4688930674,30.14,47.7,23,28,2,8,0,0,8,0,40,10,1,15,15,41
44,50,1,49,0.02,25,26,1231333.6120417383,30.08,48.24,23,28,1,12,0,0,12,0,37,10,1,15,15,41
