generation,population_size,accepted_trials,rolled_back_trials,acceptance_rate,best_conflict_pairs,best_conflict_points,best_fitness,mean_conflict_pairs,mean_conflict_points,best_conflict_lexicographic_pairs,best_conflict_lexicographic_points,adm_learning_samples,rollback_due_to_pair_increase,rollback_due_to_point_increase,rollback_due_to_fitness_worse,new_pair_trials_rejected,rejected_lower_risk_equal_conflicts,rollback_due_to_infeasible_route,exact_survivors,moved_same_pair,new_conflict_pairs,new_conflict_points,resolved_original_conflicts
1,50,0,0,,39,58,2765209.2200119826,44.166666666666664,68.5,36,60,6,0,0,0,0,0,0,7,0,32,51,47
2,50,6,44,0.12,25,27,1292418.2067255597,39.5,63.166666666666664,25,27,6,0,0,0,0,0,44,8,3,15,16,46
3,50,9,41,0.18,25,27,1292418.2066408226,38.2,62.6,25,27,9,2,0,0,2,0,39,8,3,15,16,46
4,50,4,46,0.08,25,27,1292418.2063271743,38.22727272727273,62.0,25,27,4,1,0,0,1,0,45,8,3,15,16,46
5,50,7,43,0.14,25,27,1292418.2054834168,38.25925925925926,56.74074074074074,25,27,7,3,0,0,3,0,40,8,3,15,16,46
6,50,8,42,0.16,25,27,1292418.2036155837,37.13333333333333,54.666666666666664,22,49,8,5,0,0,5,0,37,8,3,15,16,46
7,50,4,46,0.08,25,27,1292418.1999887507,37.1875,54.5,22,49,4,3,0,0,3,0,43,8,3,15,16,46
8,50,3,47,0.06,25,27,1292418.1935788428,37.0,54.24242424242424,22,49,3,7,1,0,8,0,39,8,3,15,16,46
9,50,12,38,0.24,25,27,1292418.1830244418,37.46153846153846,56.94871794871795,22,49,10,6,0,0,6,0,32,8,3,15,16,46
10,50,6,44,0.12,21,21,993797.0548361276,36.46341463414634,53.951219512195124,21,21,6,6,0,0,6,0,38,9,2,10,10,45
11,50,7,43,0.14,21,21,993797.0359943956,37.31111111111111,56.022222222222226,21,21,7,7,0,0,7,0,36,9,2,10,10,45
12,50,5,45,0.1,21,21,993797.0089031757,36.48888888888889,55.37777777777778,21,21,5,2,0,0,2,0,43,9,2,10,10,45
13,50,4,46,0.08,21,21,993796.9711089162,36.15217391304348,55.02173913043478,21,21,4,2,0,0,2,0,44,9,2,10,10,45
14,50,6,44,0.12,21,21,993796.919713649,35.58695652173913,54.67391304347826,21,21,6,5,0,0,5,0,39,9,2,10,10,45
15,50,6,44,0.12,21,21,993796.8513379542,34.38297872340426,51.744680851063826,21,21,6,3,0,0,3,0,41,9,2,10,10,45
16,50,2,48,0.04,21,21,993796.7620839251,34.583333333333336,52.479166666666664,21,21,2,7,0,0,7,0,41,9,2,10,10,45
17,50,8,42,0.16,21,21,993796.6474981351,33.4375,50.666666666666664,21,21,8,6,1,0,7,0,35,9,2,10,10,45
18,50,11,39,0.22,21,21,993796.5025346006,31.875,48.833333333333336,21,21,10,5,0,0,5,0,34,9,2,10,10,45
19,50,3,47,0.06,21,21,993796.3215177478,31.520833333333332,47.041666666666664,21,21,3,4,0,0,4,0,43,9,2,10,10,45
20,50,10,40,0.2,21,21,993796.0981053781,30.1875,44.6875,21,21,10,8,0,0,8,0,32,9,2,10,10,45
21,50,8,42,0.16,21,21,993795.8252516321,29.25,42.854166666666664,21,21,8,13,0,0,13,0,29,9,2,10,10,45
22,50,6,44,0.12,21,21,993795.4951699564,28.75,43.9375,21,21,6,12,1,0,13,0,31,9,2,10,10,45
