flight_id,degree,collective_influence,conflict_point_involvement,is_ci_top10
0,0,0.0,0,False
1,3,4.0,10,False
2,0,0.0,0,False
3,2,1.0,2,False
4,0,0.0,0,False
5,0,0.0,0,False
6,0,0.0,0,False
7,1,0.0,4,False
8,1,0.0,1,False
9,3,2.0,3,False
10,0,0.0,0,False
11,2,2.0,2,False
12,3,24.0,3,True
13,1,0.0,1,False
14,1,0.0,1,False
15,0,0.0,0,False
16,3,18.0,4,True
17,2,3.0,2,False
18,2,3.0,2,False
19,1,0.0,1,False
20,1,0.0,1,False
21,3,2.0,4,False
22,2,4.0,2,False
23,1,0.0,2,False
24,2,4.0,5,False
25,4,18.0,8,True
26,2,3.0,3,False
27,1,0.0,1,False
28,1,0.0,1,False
29,1,0.0,1,False
30,1,0.0,1,False
31,1,0.0,2,False
32,0,0.0,0,False
33,2,1.0,2,False
34,0,0.0,0,False
35,1,0.0,1,False
36,2,0.0,2,False
37,2,0.0,2,False
38,2,7.0,3,False
39,1,0.0,1,False
40,1,0.0,21,False
41,0,0.0,0,False
42,2,0.0,2,False
43,5,24.0,7,True
44,1,0.0,2,False
45,3,8.0,4,True
46,1,0.0,1,False
47,0,0.0,0,False
48,1,0.0,3,False
49,1,0.0,1,False
50,1,0.0,7,False
51,1,0.0,1,False
52,2,0.0,24,False
53,1,0.0,1,False
54,3,18.0,4,True
55,0,0.0,0,False
56,1,0.0,1,False
57,1,0.0,7,False
58,0,0.0,0,False
59,1,0.0,1,False
60,1,0.0,4,False
61,1,0.0,2,False
62,0,0.0,0,False
63,3,8.0,3,False
64,0,0.0,0,False
65,0,0.0,0,False
66,0,0.0,0,False
67,3,0.0,3,False
68,1,0.0,1,False
69,1,0.0,2,False
70,2,3.0,2,False
71,2,0.0,8,False
72,3,20.0,4,True
73,3,14.0,4,True
74,2,6.0,9,False
75,3,10.0,3,True
76,1,0.0,1,False
77,2,3.0,3,False
78,0,0.0,0,False
79,2,3.0,3,False
80,2,0.0,2,False
81,2,6.0,4,False
82,0,0.0,0,False
83,1,0.0,1,False
84,1,0.0,1,False
85,0,0.0,0,False
86,2,5.0,2,False
87,0,0.0,0,False
88,2,7.0,10,False
89,3,4.0,3,False
90,4,12.0,4,True
91,2,1.0,2,False
92,0,0.0,0,False
93,1,0.0,1,False
94,2,1.0,2,False
95,1,0.0,1,False
96,3,4.0,4,False
97,1,0.0,2,False
98,0,0.0,0,False
99,2,1.0,2,False
