generation,population_size,accepted_trials,rolled_back_trials,acceptance_rate,best_conflict_pairs,best_conflict_points,best_fitness,mean_conflict_pairs,mean_conflict_points,best_conflict_lexicographic_pairs,best_conflict_lexicographic_points,adm_learning_samples,rollback_due_to_pair_increase,rollback_due_to_point_increase,rollback_due_to_fitness_worse,new_pair_trials_rejected,rejected_lower_risk_equal_conflicts,rollback_due_to_infeasible_route,exact_survivors,moved_same_pair,new_conflict_pairs,new_conflict_points,resolved_original_conflicts
1,50,0,0,,36,50,2372299.6552200937,38.0,57.0,36,50,2,0,0,0,0,0,0,13,1,24,36,38
2,50,10,40,0.2,22,27,1268519.3378613284,33.416666666666664,47.666666666666664,21,28,10,1,0,0,1,0,39,6,4,13,17,45
3,50,8,42,0.16,22,27,1268519.3377781275,32.526315789473685,45.73684210526316,21,28,8,0,0,0,0,0,42,6,4,13,17,45
4,50,5,45,0.1,22,27,1268519.3374701657,33.56521739130435,50.65217391304348,21,28,5,5,0,0,5,0,40,6,4,13,17,45
5,50,7,43,0.14,23,26,1245161.6370351852,32.5,47.285714285714285,21,28,7,2,0,0,2,0,41,9,4,11,13,42
6,50,4,46,0.08,18,19,912558.8248658004,31.966666666666665,45.4,18,19,4,5,0,0,5,0,41,8,1,10,10,43
7,50,4,46,0.08,18,19,912558.8223122869,32.03125,47.59375,18,19,4,6,0,0,6,0,40,8,1,10,10,43
8,50,9,41,0.18,18,19,912558.8177993172,31.91891891891892,47.21621621621622,18,19,9,3,0,0,3,0,38,8,1,10,10,43
9,50,8,42,0.16,18,19,912558.8103683693,31.473684210526315,47.44736842105263,18,19,8,7,0,0,7,0,35,8,1,10,10,43
10,50,8,42,0.16,18,19,912558.7987894816,30.75,45.4,18,19,8,6,0,0,6,0,36,8,1,10,10,43
11,50,4,46,0.08,18,19,912558.781527323,30.15,45.2,18,19,4,8,0,0,8,0,38,8,1,10,10,43
12,50,12,38,0.24,18,19,912558.7567072619,28.571428571428573,45.095238095238095,18,19,10,6,0,0,6,0,32,8,1,10,10,43
13,50,8,42,0.16,18,19,912558.7220814371,28.318181818181817,44.22727272727273,18,19,8,11,0,0,11,0,31,8,1,10,10,43
14,50,6,44,0.12,18,19,912558.6749948282,28.70212765957447,45.04255319148936,18,19,6,7,0,0,7,0,37,8,1,10,10,43
15,50,9,41,0.18,18,19,912558.6123513248,26.95744680851064,42.04255319148936,17,25,9,8,0,0,8,0,33,8,1,10,10,43
16,50,5,45,0.1,15,15,718341.7946290538,26.51063829787234,40.361702127659576,15,15,5,10,0,0,10,0,35,6,0,9,9,45
17,50,3,47,0.06,15,15,718341.7121378953,26.23404255319149,40.08510638297872,15,15,3,4,0,0,4,0,43,6,0,9,9,45
18,50,3,47,0.06,15,15,718341.6077775738,25.95744680851064,40.59574468085106,15,15,3,8,0,0,8,0,39,6,0,9,9,45
19,50,4,46,0.08,15,15,718341.4774622015,26.693877551020407,42.36734693877551,15,15,4,10,0,0,10,0,36,6,0,9,9,45
20,50,4,46,0.08,15,15,718341.3166259826,26.428571428571427,41.673469387755105,15,15,4,12,0,0,12,0,34,6,0,9,9,45
21,50,5,45,0.1,15,15,718341.1201965511,26.3,41.2,15,15,5,11,2,0,13,0,32,6,0,9,9,45
22,50,6,44,0.12,15,15,718340.8825683091,25.48,39.54,15,15,6,9,1,0,10,0,34,6,0,9,9,45
23,50,2,48,0.04,15,15,718340.5975757658,25.18,38.8,15,15,2,14,1,0,15,0,33,6,0,9,9,45
24,50,5,45,0.1,15,15,718340.2584668753,24.88,39.44,15,15,5,9,0,0,9,0,36,6,0,9,9,45
25,50,2,48,0.04,15,15,718339.8578763756,24.86,38.78,15,15,2,14,0,0,14,0,34,6,0,9,9,45
26,50,5,45,0.1,15,15,718339.3877991262,24.16,38.14,15,15,5,10,0,0,10,0,35,6,0,9,9,45
27,50,3,47,0.06,15,15,718338.8395634477,23.9,38.28,15,15,3,13,0,0,13,0,34,6,0,9,9,45
28,50,0,50,0.0,15,15,718338.2038044591,23.9,38.28,15,15,0,12,0,0,12,0,38,6,0,9,9,45
29,50,1,49,0.02,15,15,718337.4704374168,23.68,38.16,13,23,1,11,0,0,11,0,38,6,0,9,9,45
30,50,3,47,0.06,15,15,718336.6286310529,23.5,38.12,13,23,3,19,1,0,20,0,27,6,0,9,9,45
31,50,1,49,0.02,15,15,718335.6667809137,23.42,38.14,13,23,1,7,0,0,7,0,42,6,0,9,9,45
32,50,1,49,0.02,15,15,718334.5724826979,23.36,38.32,13,23,1,16,0,0,16,0,33,6,0,9,9,45
33,50,1,49,0.02,15,15,718333.332505595,23.3,38.22,13,23,1,9,0,0,9,0,40,6,0,9,9,45
34,50,2,48,0.04,15,15,718331.9327656241,23.14,39.08,13,23,2,11,0,0,11,0,37,6,0,9,9,45
35,50,1,49,0.02,15,15,718330.3582989722,23.02,38.86,13,23,1,13,1,0,14,0,35,6,0,9,9,45
36,50,1,49,0.02,15,15,718328.593235332,23.02,38.76,13,23,1,13,1,0,14,0,35,6,0,9,9,45
37,50,3,47,0.06,15,15,718326.6207712413,22.86,39.04,13,23,3,10,0,0,10,0,37,6,0,9,9,45
38,50,1,49,0.02,15,15,718324.4231434206,22.72,39.64,13,23,1,15,1,0,16,0,33,6,0,9,9,45
39,50,1,49,0.02,15,15,718321.9816021121,22.68,39.1,13,23,1,11,0,0,11,0,38,6,0,9,9,45
40,50,2,48,0.04,15,15,718319.2763844177,22.58,39.18,13,23,2,12,2,0,14,0,34,6,0,9,9,45
41,50,2,48,0.04,15,15,718316.2866876377,22.48,39.62,13,23,2,9,1,0,10,0,38,6,0,9,9,45
42,50,0,50,0.0,15,15,718312.9906426087,22.48,39.62,13,23,0,17,0,0,17,0,33,6,0,9,9,45
43,50,2,48,0.04,15,15,718309.365287043,22.02,38.94,13,23,2,13,0,0,13,0,35,6,0,9,9,45
44,50,3,47,0.06,15,15,718305.3865388664,21.98,39.58,13,23,3,7,0,0,7,0,40,6,0,9,9,45
45,50,3,47,0.06,15,15,718301.0291695561,21.8,39.62,13,23,3,18,2,0,20,0,27,6,0,9,9,45
46,50,1,49,0.02,15,15,718296.26677748,21.76,39.84,13,23,1,17,0,0,17,0,32,6,0,9,9,45
47,50,1,49,0.02,15,15,718291.0717612348,21.64,39.28,13,23,1,11,0,0,11,0,38,6,0,9,9,45
48,50,1,49,0.02,15,15,718285.4152929845,21.64,39.28,13,23,1,14,0,0,14,0,35,6,0,9,9,45
49,50,1,49,0.02,15,15,718279.2672917985,21.46,39.14,13,23,1,11,0,0,11,0,38,6,0,9,9,45
50,50,2,48,0.04,15,15,718272.5963969902,21.38,38.94,13,23,2,12,0,0,12,0,36,6,0,9,9,45
51,50,1,49,0.02,15,15,718265.3699414561,21.34,38.82,13,23,1,16,0,0,16,0,33,6,0,9,9,45
52,50,2,48,0.04,15,15,718257.5539250126,21.3,38.88,13,23,2,12,1,0,13,0,35,6,0,9,9,45
53,50,3,47,0.06,11,13,626327.2994221199,20.94,38.2,11,13,3,7,0,0,7,0,40,0,1,10,12,51
54,50,2,48,0.04,11,13,626319.3902837895,20.86,37.6,11,13,2,10,0,0,10,0,38,0,1,10,12,51
55,50,3,47,0.06,11,13,626310.873074986,20.76,37.12,11,13,3,11,0,0,11,0,36,0,1,10,12,51
56,50,1,49,0.02,11,13,626301.713388537,20.68,36.68,11,13,1,11,0,0,11,0,38,0,1,10,12,51
57,50,2,48,0.04,11,13,626291.8755431444,20.62,36.52,11,13,2,16,0,0,16,0,32,0,1,10,12,51
58,50,3,47,0.06,11,13,626281.3225602193,20.32,35.72,11,13,3,12,0,0,12,0,35,0,1,10,12,51
59,50,3,47,0.06,11,13,626270.0161407158,20.18,36.18,11,13,3,8,0,0,8,0,39,0,1,10,12,51
60,50,1,49,0.02,11,13,626257.9166419647,20.14,36.6,11,13,1,14,1,0,15,0,34,0,1,10,12,51
61,50,2,48,0.04,11,13,626244.9830545085,19.98,36.42,11,13,2,10,0,0,10,0,38,0,1,10,12,51
62,50,0,50,0.0,11,13,626231.172978934,19.98,36.42,11,13,0,14,1,0,15,0,35,0,1,10,12,51
63,50,2,48,0.04,11,13,626216.4426027084,19.9,36.66,11,13,2,12,0,0,12,0,36,0,1,10,12,51
64,50,2,48,0.04,11,13,626200.7466770113,19.88,36.94,11,13,2,12,0,0,12,0,36,0,1,10,12,51
65,50,1,49,0.02,11,13,626184.0384935702,19.88,36.92,11,13,1,9,0,0,9,0,40,0,1,10,12,51
66,50,1,49,0.02,11,13,626166.2698614944,19.82,36.82,11,13,1,11,0,0,11,0,38,0,1,10,12,51
67,50,2,48,0.04,11,13,626147.3910841084,19.6,36.74,11,13,2,10,1,0,11,0,37,0,1,10,12,51
68,50,2,48,0.04,11,13,626127.3509357866,19.42,37.02,11,13,2,13,0,0,13,0,35,0,1,10,12,51
69,50,3,47,0.06,11,13,626106.0966387872,19.26,37.66,11,13,3,11,0,0,11,0,36,0,1,10,12,51
70,50,1,49,0.02,11,13,626083.5738400863,19.24,37.78,11,13,1,8,0,0,8,0,41,0,1,10,12,51
71,50,1,49,0.02,11,13,626059.7265882122,19.2,38.02,11,13,1,13,0,0,13,0,36,0,1,10,12,51
72,50,1,49,0.02,11,13,626034.4973100788,19.16,37.86,11,13,1,10,1,0,11,0,38,0,1,10,12,51
73,50,2,48,0.04,11,13,626007.8267878206,18.9,38.1,11,13,2,16,0,0,16,0,32,0,1,10,12,51
74,50,3,47,0.06,11,13,625979.6541356262,18.8,38.04,11,13,3,14,0,0,14,0,33,0,1,10,12,51
75,50,2,48,0.04,11,13,625949.9167765726,18.72,38.1,11,13,2,9,0,0,9,0,39,0,1,10,12,51
76,50,1,49,0.02,11,13,625918.5504194588,18.66,37.72,11,13,1,12,0,0,12,0,37,0,1,10,12,51
77,50,1,49,0.02,11,13,625885.4890356412,18.64,37.78,11,13,1,15,0,0,15,0,34,0,1,10,12,51
78,50,2,48,0.04,11,13,625850.6648358657,18.4,37.68,11,13,2,10,0,0,10,0,38,0,1,10,12,51
79,50,0,50,0.0,11,13,625814.0082471038,18.4,37.68,11,13,0,11,0,0,11,0,39,0,1,10,12,51
80,50,1,49,0.02,11,13,625775.447889385,18.38,37.5,11,13,1,9,0,0,9,0,40,0,1,10,12,51
81,50,1,49,0.02,11,13,625734.9105526326,18.36,37.14,11,13,1,17,0,0,17,0,32,0,1,10,12,51
82,50,1,49,0.02,11,13,625692.3211734962,18.36,37.1,11,13,1,16,0,0,16,0,33,0,1,10,12,51
83,50,4,46,0.08,11,13,625647.6028121861,18.06,36.9,11,13,4,11,0,0,11,0,35,0,1,10,12,51
84,50,1,49,0.02,11,13,625600.6766293086,17.92,36.22,11,13,1,15,0,0,15,0,34,0,1,10,12,51
85,50,2,48,0.04,11,13,625551.4618626985,17.88,36.12,11,13,2,14,0,0,14,0,34,0,1,10,12,51
86,50,3,47,0.06,11,13,625499.8758042541,17.7,35.26,11,13,3,10,0,0,10,0,37,0,1,10,12,51
87,50,1,49,0.02,11,13,625445.8337767713,17.48,35.02,11,13,1,18,0,0,18,0,31,0,1,10,12,51
88,50,1,49,0.02,11,13,625389.2491107773,17.4,34.6,11,13,1,12,1,0,13,0,36,0,1,10,12,51
89,50,1,49,0.02,11,13,625330.0331213647,17.4,34.54,11,13,1,14,0,0,14,0,35,0,1,10,12,51
90,50,1,49,0.02,11,13,625268.0950850259,17.38,34.48,11,13,1,12,1,0,13,0,36,0,1,10,12,51
91,50,1,49,0.02,11,13,625203.342216487,17.26,34.38,11,13,1,12,1,0,13,0,36,0,1,10,12,51
92,50,1,49,0.02,11,13,625135.6796455419,17.2,33.94,11,13,1,10,0,0,10,0,39,0,1,10,12,51
93,50,2,48,0.04,11,13,625065.0103938865,17.14,33.88,11,13,2,9,1,0,10,0,38,0,1,10,12,51
94,50,1,49,0.02,11,13,624991.2353519523,17.08,34.02,11,13,1,11,1,0,12,0,37,0,1,10,12,51
95,50,3,47,0.06,11,13,624914.2532557414,16.92,34.02,11,13,3,9,0,0,9,0,38,0,1,10,12,51
96,50,0,50,0.0,11,13,624833.9606636598,16.92,34.02,11,13,0,11,0,0,11,0,39,0,1,10,12,51
97,50,2,48,0.04,11,13,624750.2519333516,16.9,33.92,11,13,2,16,0,0,16,0,32,0,1,10,12,51
98,50,5,45,0.1,11,13,624663.0191985337,16.7,34.08,11,13,5,11,1,0,12,0,33,0,1,10,12,51
99,50,2,48,0.04,12,13,622878.1908962679,16.66,33.98,11,13,2,12,0,0,12,0,36,2,0,10,11,49
100,50,0,50,0.0,12,13,622783.7871131746,16.66,33.98,11,13,0,17,0,0,17,0,33,2,0,10,11,49
101,50,1,49,0.02,12,13,622685.530704111,16.64,34.08,11,13,1,11,1,0,12,0,37,2,0,10,11,49
102,50,0,50,0.0,12,13,622583.3049345678,16.64,34.08,11,13,0,13,0,0,13,0,37,2,0,10,11,49
103,50,1,49,0.02,12,13,622476.9907354612,16.62,33.88,11,13,1,12,0,0,12,0,37,2,0,10,11,49
104,50,0,50,0.0,12,13,622366.4666800186,16.62,33.88,11,13,0,19,0,0,19,0,31,2,0,10,11,49
105,50,0,50,0.0,12,13,622251.6089606629,16.62,33.88,11,13,0,15,1,0,16,0,34,2,0,10,11,49
106,50,0,50,0.0,12,13,622132.2913658991,16.62,33.88,11,13,0,15,0,0,15,0,35,2,0,10,11,49
107,50,1,49,0.02,12,13,622008.3852571989,16.58,33.86,11,13,1,13,0,0,13,0,36,2,0,10,11,49
108,50,2,48,0.04,12,13,621879.7595458869,16.54,33.48,11,13,2,9,0,0,9,0,39,2,0,10,11,49
109,50,3,47,0.06,12,13,621746.2806700247,16.24,32.76,11,13,3,11,0,0,11,0,36,2,0,10,11,49
110,50,1,49,0.02,12,13,621607.8125712977,16.2,32.68,11,13,1,17,0,0,17,0,32,2,0,10,11,49
111,50,1,49,0.02,12,13,621464.2166718997,16.16,32.78,11,13,1,10,0,0,10,0,39,2,0,10,11,49
112,50,0,50,0.0,12,13,621315.3518514184,16.16,32.78,11,13,0,13,0,0,13,0,37,2,0,10,11,49
113,50,0,50,0.0,12,13,621161.0744237211,16.16,32.78,11,13,0,12,0,0,12,0,38,2,0,10,11,49
114,50,2,48,0.04,8,13,620126.2799152605,16.08,32.66,8,13,2,14,0,0,14,0,34,0,1,7,12,51
115,50,0,50,0.0,8,13,619960.925535908,16.08,32.66,8,13,0,10,0,0,10,0,40,0,1,7,12,51
116,50,0,50,0.0,8,13,619789.7185797273,16.08,32.66,8,13,0,11,0,0,11,0,39,0,1,7,12,51
117,50,0,50,0.0,8,13,619612.505043235,16.08,32.66,8,13,0,9,0,0,9,0,41,0,1,7,12,51
118,50,1,49,0.02,8,9,430668.72362528916,15.96,32.54,8,9,1,14,0,0,14,0,35,1,0,7,8,50
119,50,0,50,0.0,8,9,430537.5606108822,15.96,32.54,8,9,0,14,0,0,14,0,36,1,0,7,8,50
120,50,0,50,0.0,8,9,430401.9138738975,15.96,32.54,8,9,0,12,0,0,12,0,38,1,0,7,8,50
121,50,0,50,0.0,8,9,430261.66942947166,15.96,32.54,8,9,0,15,0,0,15,0,35,1,0,7,8,50
122,50,0,50,0.0,8,9,430116.7113770962,15.96,32.54,8,9,0,14,0,0,14,0,36,1,0,7,8,50
