run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,1,30,42.0,4,21,21,89
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,2,63,36.0,4,19,19,89
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,3,26,33.0,4,21,21,89
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,4,50,33.0,4,32,32,89
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,5,57,33.0,4,32,32,89
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,6,77,33.0,4,4,4,89
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,7,66,32.0,3,6,6,89
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,8,40,30.0,4,4,4,89
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,9,56,27.0,4,7,7,89
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,309,10,86,24.0,4,9,9,89
