run_id,ci_l,top10_flight_ids,top10_point_coverage,top10_pair_coverage,remaining_edges_after_top10_removal,lcc_ratio_after_top10_removal
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,1,"[26, 50, 57, 30, 56, 63, 77, 86, 18, 66]",0.5947712418300654,0.358974358974359,50,0.28
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,2,"[30, 63, 26, 50, 57, 77, 66, 40, 56, 86]",0.5816993464052288,0.34615384615384615,51,0.32
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,3,"[42, 63, 86, 56, 77, 9, 30, 2, 26, 40]",0.42483660130718953,0.3974358974358974,47,0.2
