flight_id,multi_degree,unique_conflict_partners,conflict_point_involvement,CI_multi_l1,multi_rank,rank
52,21,1,21,420.0,1,1
77,22,2,22,420.0,2,2
87,15,2,15,210.0,3,3
70,15,2,15,196.0,4,4
41,5,5,5,52.0,5,5
62,5,4,5,52.0,6,6
16,5,4,5,36.0,7,7
83,6,5,6,35.0,8,8
4,4,3,4,33.0,9,9
18,4,4,4,33.0,10,10
64,5,4,5,32.0,11,11
3,3,3,3,22.0,12,12
53,4,2,4,21.0,13,13
78,4,3,4,21.0,14,14
89,4,3,4,21.0,15,15
80,3,3,3,20.0,16,16
85,5,2,5,20.0,17,17
49,4,4,4,18.0,18,18
56,4,3,4,15.0,19,19
65,4,4,4,15.0,20,20
