flight_id,multi_degree,unique_conflict_partners,conflict_point_involvement,CI_multi_l1,multi_rank
52,21,1,21,420.0,1
77,22,2,22,420.0,2
87,15,2,15,210.0,3
70,15,2,15,196.0,4
41,5,5,5,52.0,5
62,5,4,5,52.0,6
16,5,4,5,36.0,7
83,6,5,6,35.0,8
4,4,3,4,33.0,9
18,4,4,4,33.0,10
