generation,population_size,accepted_trials,rolled_back_trials,acceptance_rate,best_conflict_pairs,best_conflict_points,best_fitness,mean_conflict_pairs,mean_conflict_points,best_conflict_lexicographic_pairs,best_conflict_lexicographic_points,adm_learning_samples,rollback_due_to_pair_increase,rollback_due_to_point_increase,rollback_due_to_fitness_worse,new_pair_trials_rejected,rejected_lower_risk_equal_conflicts,rollback_due_to_infeasible_route,exact_survivors,moved_same_pair,new_conflict_pairs,new_conflict_points,resolved_original_conflicts
1,50,0,0,,29,46,2188529.4027591175,38.0,63.0,29,46,4,0,0,0,0,0,0,11,5,16,30,43
2,50,6,44,0.12,26,31,1454821.054761548,37.9,54.9,26,31,6,0,0,0,0,0,44,11,10,9,10,43
3,50,1,49,0.02,26,31,1454821.0546659948,38.81818181818182,55.63636363636363,26,31,1,0,0,0,0,0,49,11,10,9,10,43
4,50,3,47,0.06,26,31,1454821.054312312,40.42857142857143,56.714285714285715,26,31,3,0,0,0,0,0,47,11,10,9,10,43
5,50,3,47,0.06,26,31,1454821.053360856,39.76470588235294,55.8235294117647,26,31,3,0,0,0,0,0,47,11,10,9,10,43
6,50,4,46,0.08,26,31,1454821.0512546094,40.857142857142854,57.95238095238095,26,31,4,1,0,0,1,0,45,11,10,9,10,43
7,50,0,50,0.0,26,31,1454821.0471648413,40.857142857142854,57.95238095238095,26,31,0,0,0,0,0,0,50,11,10,9,10,43
8,50,0,50,0.0,26,31,1454821.0399367611,40.857142857142854,57.95238095238095,26,31,0,0,0,0,0,0,50,11,10,9,10,43
9,50,1,49,0.02,26,31,1454821.028035178,40.40909090909091,56.81818181818182,26,31,1,1,0,0,1,0,48,11,10,9,10,43
10,50,4,46,0.08,26,31,1454821.0094901558,38.82608695652174,52.78260869565217,26,31,4,0,0,0,0,0,46,11,10,9,10,43
11,50,1,49,0.02,26,31,1454820.981842671,38.333333333333336,52.0,26,31,1,1,0,0,1,0,48,11,10,9,10,43
12,50,6,44,0.12,26,31,1454820.9420902696,36.77777777777778,49.074074074074076,26,31,6,0,0,0,0,0,44,11,10,9,10,43
13,50,5,45,0.1,26,31,1454820.8866327235,35.96551724137931,49.758620689655174,26,31,5,2,0,0,2,0,43,11,10,9,10,43
14,50,4,46,0.08,26,31,1454820.8112176887,36.4375,51.21875,26,31,4,1,0,0,1,0,45,11,10,9,10,43
15,50,2,48,0.04,26,31,1454820.7108863606,36.0,50.875,26,31,2,2,0,0,2,0,46,11,10,9,10,43
16,50,3,47,0.06,26,31,1454820.5799191322,36.09090909090909,50.84848484848485,26,31,3,3,0,0,3,0,44,11,10,9,10,43
17,50,3,47,0.06,26,31,1454820.4117812505,36.31428571428572,50.51428571428571,26,31,3,4,1,0,5,0,42,11,10,9,10,43
18,50,0,50,0.0,26,31,1454820.1990684737,36.31428571428572,50.51428571428571,26,31,0,3,0,0,3,0,47,11,10,9,10,43
19,50,2,48,0.04,26,31,1454819.9334527275,36.0,49.22857142857143,26,31,2,4,0,0,4,0,44,11,10,9,10,43
20,50,1,49,0.02,26,31,1454819.605627763,36.30555555555556,50.388888888888886,26,31,1,2,0,0,2,0,47,11,10,9,10,43
21,50,2,48,0.04,26,31,1454819.205254813,36.08108108108108,49.78378378378378,26,31,2,1,0,0,1,0,47,11,10,9,10,43
22,50,2,48,0.04,26,31,1454818.7209082486,35.54054054054054,49.945945945945944,26,31,2,3,1,0,4,0,44,11,10,9,10,43
23,50,1,49,0.02,26,31,1454818.1400212378,35.73684210526316,50.44736842105263,26,31,1,2,0,0,2,0,47,11,10,9,10,43
24,50,5,45,0.1,26,31,1454817.4488314,35.275,50.775,26,31,5,3,0,0,3,0,42,11,10,9,10,43
25,50,2,48,0.04,26,31,1454816.6323264653,35.175,51.375,26,31,2,6,0,0,6,0,42,11,10,9,10,43
