run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,448,1,41,32.0,5,5,5,37
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,448,2,53,24.0,4,6,6,37
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,448,3,75,24.0,3,3,3,37
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,448,4,9,21.0,4,7,7,37
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,448,5,51,20.0,5,7,7,37
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,448,6,87,20.0,3,3,3,37
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,448,7,43,18.0,3,6,6,37
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,448,8,92,16.0,3,4,4,37
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,448,9,57,14.0,3,4,4,37
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,448,10,61,14.0,3,3,3,37
