action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,prob_delay_after,prob_speed_after,prob_reroute_after,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs
cruise_level,2,45,44,52,48,True,False,8.178999999927328,pairs_decreased,4,0,0,stage2_independent_matching,0,0,2-59,4,cluster,reroute,0,0.5,0.3,0.2,ADM_ref6_independent_matching,0.25,0.15,0.6,0,0,2,59,reroute,2,52,48,45,44
speed,54,44,43,48,46,True,False,7.778099999995902,pairs_decreased,2,0,0,stage2_independent_matching,1,0,27-54,2,crossing,speed,0,0.25,0.6,0.15,ADM_ref6_independent_matching,0.125,0.8,0.075,1,0,27,54,speed,54,48,46,44,43
speed,37,43,42,46,44,True,False,7.762100000036298,pairs_decreased,2,0,1,stage2_independent_matching,2,0,37-76,2,crossing,speed,0,0.125,0.8,0.075,ADM_ref6_independent_matching,0.0625,0.9,0.0375,2,0,37,76,speed,37,46,44,43,42
delay,42,42,42,44,44,False,True,7.651399999758723,rollback,2,2,0,stage2_independent_matching,3,0,42-78,2,cluster,delay,0,0.25,0.15,0.6,ADM_ref6_independent_matching,,,,3,0,42,78,delay,42,44,44,42,42
delay,42,42,42,44,44,False,True,7.8014999999140855,rollback,2,2,0,stage2_independent_matching,3,0,42-78,2,cluster,delay,1,0.25,0.15,0.6,ADM_ref6_independent_matching,,,,3,0,42,78,delay,42,44,44,42,42
delay,42,42,41,44,42,True,False,7.791399999860005,pairs_decreased,2,0,0,stage2_independent_matching,3,0,42-78,2,cluster,delay,2,0.25,0.15,0.6,ADM_ref6_independent_matching,0.625,0.075,0.3,3,0,42,78,delay,42,44,42,42,41
cruise_level,55,41,40,42,40,True,False,7.900600000084523,pairs_decreased,2,0,0,stage2_independent_matching,4,0,55-77,2,head_to_head,reroute,0,0.15,0.15,0.7,ADM_ref6_independent_matching,0.075,0.075,0.85,4,0,55,77,reroute,55,42,40,41,40
cruise_level,3,40,40,40,40,False,True,7.849499999792897,rollback,1,0,1,stage2_independent_matching,5,0,3-65,1,head_to_head,reroute,0,0.075,0.075,0.85,ADM_ref6_independent_matching,,,,5,0,3,65,reroute,3,40,40,40,40
cruise_level,3,40,39,40,39,True,False,8.312999999816384,pairs_decreased,1,0,0,stage2_independent_matching,5,0,3-65,1,head_to_head,reroute,1,0.075,0.075,0.85,ADM_ref6_independent_matching,0.0375,0.0375,0.925,5,0,3,65,reroute,3,40,39,40,39
speed,6,39,38,39,38,True,False,21.373500000208878,pairs_decreased,1,0,0,stage2_independent_matching,6,0,6-11,1,crossing,speed,0,0.0625,0.9,0.0375,ADM_ref6_independent_matching,0.03125,0.95,0.01875,6,0,6,11,speed,6,39,38,39,38
speed,8,38,38,38,38,False,True,9.055500000158645,rollback,1,1,0,stage2_independent_matching,7,0,8-37,1,crossing,speed,0,0.03125,0.95,0.01875,ADM_ref6_independent_matching,,,,7,0,8,37,speed,8,38,38,38,38
speed,8,38,38,38,38,False,True,7.880500000283064,rollback,1,1,0,stage2_independent_matching,7,0,8-37,1,crossing,speed,1,0.03125,0.95,0.01875,ADM_ref6_independent_matching,,,,7,0,8,37,speed,8,38,38,38,38
speed,8,38,38,38,38,False,True,7.599999999911233,rollback,1,1,0,stage2_independent_matching,7,0,8-37,1,crossing,speed,2,0.03125,0.95,0.01875,ADM_ref6_independent_matching,,,,7,0,8,37,speed,8,38,38,38,38
speed,37,38,39,38,40,False,True,7.779399999890302,rollback,1,0,2,stage2_independent_matching,7,0,8-37,1,crossing,speed,3,0.03125,0.95,0.01875,ADM_ref6_independent_matching,,,,7,0,8,37,speed,37,38,40,38,39
speed,37,38,38,38,38,False,True,7.649499999843101,rollback,1,1,0,stage2_independent_matching,7,0,8-37,1,crossing,speed,4,0.03125,0.95,0.01875,ADM_ref6_independent_matching,,,,7,0,8,37,speed,37,38,38,38,38
speed,8,38,38,38,38,False,True,7.7639999999519205,rollback,1,1,0,stage2_independent_matching,7,0,8-37,1,crossing,speed,5,0.03125,0.95,0.01875,ADM_ref6_independent_matching,,,,7,0,8,37,speed,8,38,38,38,38
speed,8,38,38,38,38,False,True,8.009099999981117,rollback,1,1,0,stage2_independent_matching,7,0,8-37,1,crossing,speed,6,0.03125,0.95,0.01875,ADM_ref6_independent_matching,,,,7,0,8,37,speed,8,38,38,38,38
speed,37,38,38,38,38,True,False,7.687499999974534,soft_decreased,1,1,0,stage2_independent_matching,7,0,8-37,1,crossing,speed,7,0.03125,0.95,0.01875,ADM_ref6_independent_matching,0.015625,0.975,0.009375,7,0,8,37,speed,37,38,38,38,38
speed,37,38,37,38,38,True,False,7.699700000102894,pairs_decreased,1,0,1,stage2_independent_matching,8,0,8-37,1,crossing,speed,0,0.015625,0.975,0.009375,ADM_ref6_independent_matching,0.0078125,0.9875,0.0046875,8,0,8,37,speed,37,38,38,38,37
speed,78,37,36,38,36,True,False,7.58510000014212,pairs_decreased,2,0,0,stage2_independent_matching,9,0,37-78,2,crossing,speed,0,0.0078125,0.9875,0.0046875,ADM_ref6_independent_matching,0.00390625,0.99375,0.00234375,9,0,37,78,speed,78,38,36,37,36
speed,9,36,37,36,37,False,True,7.72049999977753,rollback,1,1,1,stage2_independent_matching,10,0,9-12,1,crossing,speed,0,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,,,,10,0,9,12,speed,9,36,37,36,37
speed,9,36,36,36,36,False,True,8.13849999985905,rollback,1,1,0,stage2_independent_matching,10,0,9-12,1,crossing,speed,1,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,,,,10,0,9,12,speed,9,36,36,36,36
speed,9,36,36,36,36,False,True,8.026599999993778,rollback,1,1,0,stage2_independent_matching,10,0,9-12,1,crossing,speed,2,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,,,,10,0,9,12,speed,9,36,36,36,36
speed,12,36,36,36,36,False,True,7.972599999902741,rollback,1,1,0,stage2_independent_matching,10,0,9-12,1,crossing,speed,3,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,,,,10,0,9,12,speed,12,36,36,36,36
speed,12,36,36,36,36,False,True,7.6990000002297165,rollback,1,1,0,stage2_independent_matching,10,0,9-12,1,crossing,speed,4,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,,,,10,0,9,12,speed,12,36,36,36,36
speed,9,36,36,36,36,False,True,7.752000000436965,rollback,1,1,0,stage2_independent_matching,10,0,9-12,1,crossing,speed,5,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,,,,10,0,9,12,speed,9,36,36,36,36
speed,9,36,36,36,36,False,True,8.702999999968597,rollback,1,1,0,stage2_independent_matching,10,0,9-12,1,crossing,speed,6,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,,,,10,0,9,12,speed,9,36,36,36,36
speed,12,36,38,36,38,False,True,23.52610000025379,rollback,1,1,2,stage2_independent_matching,10,0,9-12,1,crossing,speed,7,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,,,,10,0,9,12,speed,12,36,38,36,38
speed,12,36,38,36,38,False,True,7.942700000057812,rollback,1,1,2,stage2_independent_matching,10,0,9-12,1,crossing,speed,8,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,,,,10,0,9,12,speed,12,36,38,36,38
speed,12,36,37,36,37,False,True,8.213900000100693,rollback,1,1,1,stage2_independent_matching,10,0,9-12,1,crossing,speed,9,0.00390625,0.99375,0.00234375,ADM_ref6_independent_matching,,,,10,0,9,12,speed,12,36,37,36,37
