flight_id,degree,collective_influence,conflict_point_involvement,is_ci_top10
0,2,3.0,2,False
1,2,2.0,22,False
2,0,0.0,0,False
3,4,21.0,5,False
4,1,0.0,1,False
5,1,0.0,3,False
6,1,0.0,2,False
7,0,0.0,0,False
8,2,16.0,2,False
9,2,8.0,3,False
10,1,0.0,1,False
11,2,5.0,2,False
12,1,0.0,1,False
13,1,0.0,1,False
14,1,0.0,1,False
15,1,0.0,1,False
16,1,0.0,1,False
17,5,44.0,8,True
18,1,0.0,1,False
19,0,0.0,0,False
20,0,0.0,0,False
21,3,16.0,3,False
22,2,3.0,5,False
23,1,0.0,1,False
24,0,0.0,0,False
25,4,24.0,5,False
26,2,4.0,2,False
27,5,60.0,5,True
28,0,0.0,0,False
29,0,0.0,0,False
30,3,24.0,3,False
31,4,15.0,7,False
32,0,0.0,0,False
33,3,24.0,5,False
34,1,0.0,2,False
35,3,12.0,3,False
36,2,11.0,2,False
37,1,0.0,2,False
38,5,32.0,9,True
39,0,0.0,0,False
40,4,33.0,6,True
41,2,3.0,2,False
42,1,0.0,1,False
43,2,11.0,2,False
44,2,3.0,3,False
45,3,20.0,5,False
46,4,36.0,5,True
47,1,0.0,1,False
48,4,45.0,5,True
49,1,0.0,1,False
50,3,4.0,5,False
51,1,0.0,1,False
52,1,0.0,1,False
53,3,14.0,12,False
54,3,18.0,3,False
55,1,0.0,3,False
56,3,10.0,3,False
57,5,44.0,8,True
58,3,22.0,7,False
59,0,0.0,0,False
60,0,0.0,0,False
61,3,8.0,3,False
62,4,30.0,4,False
63,2,10.0,2,False
64,0,0.0,0,False
65,0,0.0,0,False
66,1,0.0,1,False
67,3,2.0,4,False
68,2,15.0,3,False
69,1,0.0,1,False
70,2,3.0,2,False
71,2,3.0,2,False
72,0,0.0,0,False
73,1,0.0,1,False
74,3,4.0,23,False
75,1,0.0,2,False
76,3,26.0,3,False
77,1,0.0,3,False
78,2,6.0,2,False
79,0,0.0,0,False
80,1,0.0,1,False
81,1,0.0,1,False
82,4,33.0,20,True
83,3,8.0,12,False
84,2,3.0,3,False
85,4,54.0,5,True
86,5,64.0,8,True
87,0,0.0,0,False
88,0,0.0,0,False
89,3,18.0,17,False
90,0,0.0,0,False
91,0,0.0,0,False
92,4,30.0,5,False
93,2,13.0,2,False
94,2,3.0,3,False
95,3,4.0,3,False
96,2,11.0,5,False
97,0,0.0,0,False
98,2,14.0,2,False
99,2,9.0,2,False
