action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs,prob_delay_after,prob_speed_after,prob_reroute_after
cruise_level,22,15,14,15,14,True,False,7.376000000022032,pairs_decreased,1,0,0,stage2_independent_matching,28,0,22-39,1,crossing,reroute,1,1.9073486328125e-06,0.0014617919921875,0.9985363006591796,ADM_ref6_independent_matching,28,0,22,39,reroute,22,15,14,15,14,9.5367431640625e-07,0.00073089599609375,0.9992681503295898
cruise_level,40,14,13,14,13,True,False,7.973000000220054,pairs_decreased,1,0,0,stage2_independent_matching,29,0,40-70,1,head_to_head,reroute,0,0.063671875,0.032421875,0.90390625,ADM_ref6_independent_matching,29,0,40,70,reroute,40,14,13,14,13,0.0318359375,0.0162109375,0.951953125
cruise_level,45,13,13,13,13,False,True,8.881300000211922,rollback,1,0,1,stage2_independent_matching,30,0,45-59,1,crossing,reroute,0,9.5367431640625e-07,0.00073089599609375,0.9992681503295898,ADM_ref6_independent_matching,30,0,45,59,reroute,45,13,13,13,13,,,
cruise_level,45,13,14,13,15,False,True,7.617199999913282,rollback,1,0,2,stage2_independent_matching,30,0,45-59,1,crossing,reroute,1,9.5367431640625e-07,0.00073089599609375,0.9992681503295898,ADM_ref6_independent_matching,30,0,45,59,reroute,45,13,15,13,14,,,
cruise_level,45,13,12,13,12,True,False,7.534800000030373,pairs_decreased,1,0,0,stage2_independent_matching,30,0,45-59,1,crossing,reroute,2,9.5367431640625e-07,0.00073089599609375,0.9992681503295898,ADM_ref6_independent_matching,30,0,45,59,reroute,45,13,12,13,12,4.76837158203125e-07,0.000365447998046875,0.999634075164795
cruise_level,48,12,12,12,12,False,True,7.584800000131509,rollback,1,0,1,stage2_independent_matching,31,0,48-75,1,crossing,reroute,0,4.76837158203125e-07,0.000365447998046875,0.999634075164795,ADM_ref6_independent_matching,31,0,48,75,reroute,48,12,12,12,12,,,
cruise_level,48,12,11,12,11,True,False,7.372999999915919,pairs_decreased,1,0,0,stage2_independent_matching,31,0,48-75,1,crossing,reroute,1,4.76837158203125e-07,0.000365447998046875,0.999634075164795,ADM_ref6_independent_matching,31,0,48,75,reroute,48,12,11,12,11,2.384185791015625e-07,0.0001827239990234375,0.9998170375823975
cruise_level,50,11,10,11,10,True,False,7.349900000008347,pairs_decreased,1,0,0,stage2_independent_matching,32,0,50-64,1,head_to_head,reroute,0,0.0318359375,0.0162109375,0.951953125,ADM_ref6_independent_matching,32,0,50,64,reroute,50,11,10,11,10,0.01591796875,0.00810546875,0.9759765625
cruise_level,51,10,11,10,14,False,True,22.033400000054826,rollback,1,0,2,stage2_independent_matching,33,0,51-80,1,head_to_head,reroute,0,0.01591796875,0.00810546875,0.9759765625,ADM_ref6_independent_matching,33,0,51,80,reroute,51,10,14,10,11,,,
cruise_level,51,10,9,10,9,True,False,7.843899999897985,pairs_decreased,1,0,0,stage2_independent_matching,33,0,51-80,1,head_to_head,reroute,1,0.01591796875,0.00810546875,0.9759765625,ADM_ref6_independent_matching,33,0,51,80,reroute,51,10,9,10,9,0.007958984375,0.004052734375,0.98798828125
cruise_level,52,9,9,9,9,False,True,8.057499999722495,rollback,1,0,1,stage2_independent_matching,34,0,52-95,1,crossing,reroute,0,2.384185791015625e-07,0.0001827239990234375,0.9998170375823975,ADM_ref6_independent_matching,34,0,52,95,reroute,52,9,9,9,9,,,
cruise_level,52,9,8,9,8,True,False,7.5747999999293825,pairs_decreased,1,0,0,stage2_independent_matching,34,0,52-95,1,crossing,reroute,1,2.384185791015625e-07,0.0001827239990234375,0.9998170375823975,ADM_ref6_independent_matching,34,0,52,95,reroute,52,9,8,9,8,1.1920928955078125e-07,9.136199951171875e-05,0.9999085187911987
cruise_level,60,8,6,8,6,True,False,8.598999999776424,pairs_decreased,1,0,1,stage2_independent_matching,35,0,60-74,1,crossing,reroute,0,1.1920928955078125e-07,9.136199951171875e-05,0.9999085187911987,ADM_ref6_independent_matching,35,0,60,74,reroute,60,8,6,8,6,5.960464477539063e-08,4.5680999755859374e-05,0.9999542593955993
cruise_level,14,6,5,6,5,True,False,7.774799999879178,pairs_decreased,1,0,0,stage2_independent_matching,36,0,14-60,1,crossing,reroute,0,5.960464477539063e-08,4.5680999755859374e-05,0.9999542593955993,ADM_ref6_independent_matching,36,0,14,60,reroute,14,6,5,6,5,2.9802322387695312e-08,2.2840499877929687e-05,0.9999771296977997
cruise_level,61,5,4,5,4,True,False,7.838499999706983,pairs_decreased,1,0,0,stage2_independent_matching,37,0,61-83,1,crossing,reroute,0,2.9802322387695312e-08,2.2840499877929687e-05,0.9999771296977997,ADM_ref6_independent_matching,37,0,61,83,reroute,61,5,4,5,4,1.4901161193847656e-08,1.1420249938964843e-05,0.9999885648488999
cruise_level,66,4,3,4,3,True,False,8.13479999987976,pairs_decreased,1,0,0,stage2_independent_matching,38,0,66-87,1,crossing,reroute,0,1.4901161193847656e-08,1.1420249938964843e-05,0.9999885648488999,ADM_ref6_independent_matching,38,0,66,87,reroute,66,4,3,4,3,7.450580596923828e-09,5.710124969482422e-06,0.9999942824244499
cruise_level,68,3,2,3,2,True,False,8.498900000176945,pairs_decreased,1,0,0,stage2_independent_matching,39,0,68-95,1,head_to_head,reroute,0,0.007958984375,0.004052734375,0.98798828125,ADM_ref6_independent_matching,39,0,68,95,reroute,68,3,2,3,2,0.0039794921875,0.0020263671875,0.993994140625
cruise_level,77,2,1,2,1,True,False,7.7575999998771294,pairs_decreased,1,0,0,stage2_independent_matching,40,0,77-83,1,crossing,reroute,0,7.450580596923828e-09,5.710124969482422e-06,0.9999942824244499,ADM_ref6_independent_matching,40,0,77,83,reroute,77,2,1,2,1,3.725290298461914e-09,2.855062484741211e-06,0.9999971412122249
cruise_level,96,1,0,1,0,True,False,9.388599999965663,pairs_decreased,1,0,0,stage2_independent_matching,41,0,96-97,1,crossing,reroute,0,3.725290298461914e-09,2.855062484741211e-06,0.9999971412122249,ADM_ref6_independent_matching,41,0,96,97,reroute,96,1,0,1,0,1.862645149230957e-09,1.4275312423706054e-06,0.9999985706061125
