action_type,plan_id,old_pairs,new_pairs,old_points,new_points,accepted,rollback,runtime_ms,reason,old_target_points,new_target_points,new_pairs_created_by_action,stage,iter,segment_idx,pair,segment_points,conflict_class,matched_strategy,candidate_rank,prob_delay,prob_speed,prob_reroute,source,prob_delay_after,prob_speed_after,prob_reroute_after,round,unit_id,plan_a,plan_b,strategy,actor_flight,old_global_points,new_global_points,old_global_pairs,new_global_pairs
speed,28,27,26,27,26,True,False,10.479799999757233,local_pair_points_decreased,1.0,0.0,1.0,stage2_independent_matching,44,0,6-28,1,crossing,speed,0,0.9990069419145584,0.000993049144744873,8.940696716308593e-09,ADM_ref6_independent_matching,0.4995034709572792,0.5004965245723725,4.470348358154297e-09,44,0,6,28,speed,28,27,26,27,26
delay,13,26,25,26,25,False,True,10.227900000245427,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,45,0,13-14,1,cluster,delay,0,0.953125,0.009375,0.0375,ADM_ref6_independent_matching,,,,45,0,13,14,delay,13,26,25,26,25
delay,13,26,25,26,25,False,True,8.205399999951624,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,45,0,13-14,1,cluster,delay,1,0.953125,0.009375,0.0375,ADM_ref6_independent_matching,,,,45,0,13,14,delay,13,26,25,26,25
cruise_level,13,26,24,26,24,True,False,8.545500000309403,local_pair_points_decreased,1.0,0.0,0.0,stage2_independent_matching,45,0,13-14,1,cluster,reroute,0,0.953125,0.009375,0.0375,ADM_ref6_independent_matching,0.4765625,0.0046875,0.51875,45,0,13,14,reroute,13,26,24,26,24
delay,72,24,24,24,24,True,False,12.150999999903433,local_pair_points_decreased,1.0,0.0,1.0,stage2_independent_matching,46,0,28-72,1,crossing,delay,0,0.4995034709572792,0.5004965245723725,4.470348358154297e-09,ADM_ref6_independent_matching,0.7497517354786396,0.25024826228618624,2.2351741790771484e-09,46,0,28,72,delay,72,24,24,24,24
cruise_level,29,24,22,24,22,True,False,9.033999999701336,local_pair_points_decreased,1.0,0.0,0.0,stage2_independent_matching,47,0,29-41,1,head_to_head,reroute,0,4.57763671875e-06,4.57763671875e-06,0.9999908447265625,ADM_ref6_independent_matching,2.288818359375e-06,2.288818359375e-06,0.9999954223632812,47,0,29,41,reroute,29,24,22,24,22
delay,32,22,23,22,23,False,True,8.762399999795889,local_pair_not_improved,1.0,1.0,1.0,stage2_independent_matching,48,0,32-35,1,crossing,delay,0,0.7497517354786396,0.25024826228618624,2.2351741790771484e-09,ADM_ref6_independent_matching,,,,48,0,32,35,delay,32,22,23,22,23
delay,35,22,22,22,22,False,True,7.676100000026054,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,48,0,32-35,1,crossing,delay,1,0.7497517354786396,0.25024826228618624,2.2351741790771484e-09,ADM_ref6_independent_matching,,,,48,0,32,35,delay,35,22,22,22,22
delay,32,22,21,22,21,True,False,7.870500000080938,local_pair_points_decreased,1.0,0.0,0.0,stage2_independent_matching,48,0,32-35,1,crossing,delay,2,0.7497517354786396,0.25024826228618624,2.2351741790771484e-09,ADM_ref6_independent_matching,0.8748758677393198,0.12512413114309312,1.1175870895385742e-09,48,0,32,35,delay,32,22,21,22,21
delay,33,21,21,21,21,False,True,8.144299999912619,local_pair_not_improved,1.0,1.0,0.0,stage2_independent_matching,49,0,33-62,1,crossing,delay,0,0.8748758677393198,0.12512413114309312,1.1175870895385742e-09,ADM_ref6_independent_matching,,,,49,0,33,62,delay,33,21,21,21,21
