run_id,traffic_seed,grid_x,grid_y,grid_z,distinct_flight_count
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,0,5,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,0,6,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,0,7,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,0,8,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,0,9,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,0,10,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,0,11,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,0,12,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,0,13,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,0,14,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,0,15,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,0,16,0,3
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,0,50,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,0,54,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,0,56,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,1,6,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,1,13,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,1,14,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,1,15,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,1,16,0,2
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,1,16,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,1,17,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,1,17,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,1,18,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,1,19,0,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,1,19,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,1,20,1,1
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,106,1,21,0,1
