run_id,flight_id,degree,collective_influence,conflict_point_involvement,is_ci_top10
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,64,4,81.0,5,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,65,1,0.0,1,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,66,1,0.0,11,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,67,2,0.0,2,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,68,5,64.0,7,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,69,2,19.0,2,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,70,4,48.0,4,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,71,4,81.0,12,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,72,3,42.0,5,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,73,0,0.0,0,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,74,1,0.0,1,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,75,4,69.0,6,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,76,1,0.0,1,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,77,2,21.0,5,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,78,1,0.0,4,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,79,1,0.0,1,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,80,3,48.0,3,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,81,3,58.0,3,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,82,0,0.0,0,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,83,2,31.0,3,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,84,2,11.0,4,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,85,0,0.0,0,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,86,3,28.0,3,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,87,1,0.0,1,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,88,2,8.0,2,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,89,2,11.0,3,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,90,3,48.0,3,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,91,6,85.0,6,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,92,4,72.0,7,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,93,2,12.0,3,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,94,4,105.0,6,True
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,95,1,0.0,1,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,96,1,0.0,1,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,97,2,28.0,2,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,98,2,10.0,2,False
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,99,3,38.0,4,False
