run_id,level,min,mean,median,max,std,p90,p95,p99,height_m
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,ground,0.0,0.08123155882376763,0.0,0.4715103133543734,0.1312812088400221,0.30889611437022296,0.3656921892789575,0.4401919833927518,15.0
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,z1,0.0,0.08123155882376763,0.0,0.4715103133543734,0.1312812088400221,0.30889611437022296,0.3656921892789575,0.4401919833927518,15.0
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,z2,0.029231232976390464,0.14628935498724047,0.029231232976390464,0.7086975954249354,0.1891817907307078,0.47436363678848253,0.5562091899536984,0.6635665534640499,45.0
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,z3,0.0490521632510905,0.19040333548964877,0.0490521632510905,0.8695280531672872,0.22844265247563564,0.5865628118020257,0.6853937573501201,0.8150309744859171,75.0
20260912_203920_309_network_reference28_gravity_grid_env2025_traffic2025_856707b5,z4,0.06513167578421043,0.22619031887254742,0.06513167578421043,1.0,0.2602925964358573,0.677583163310895,0.7901933223426807,0.9379048266406561,105.0
