run_id,plan_a,plan_b,conflict_points
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,27,90,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,28,35,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,28,54,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,28,76,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,28,91,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,29,46,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,29,50,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,31,48,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,31,51,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,31,83,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,31,85,3
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,31,94,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,31,99,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,32,96,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,32,98,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,33,51,3
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,33,65,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,34,98,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,35,36,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,35,58,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,36,54,3
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,36,91,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,37,43,5
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,37,55,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,38,52,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,39,45,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,39,81,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,40,45,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,40,70,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,40,86,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,41,74,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,42,88,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,45,49,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,45,63,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,45,83,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,45,94,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,45,95,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,45,97,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,46,64,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,47,50,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,47,81,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,47,84,9
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,48,63,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,49,53,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,49,60,16
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,50,64,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,50,71,4
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,50,84,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,50,92,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,52,63,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,52,82,4
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,52,86,11
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,53,74,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,54,55,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,54,58,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,56,77,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,56,84,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,56,89,3
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,57,62,3
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,59,67,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,61,67,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,63,70,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,63,86,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,63,87,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,63,94,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,64,69,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,64,75,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,64,81,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,65,68,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,65,82,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,68,79,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,69,73,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,69,85,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,69,97,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,70,94,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,71,93,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,72,93,4
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,73,82,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,73,84,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,75,81,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,77,82,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,82,99,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,83,86,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,85,94,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,85,99,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,86,87,4
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,86,88,1
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,87,99,2
20260912_204526_132_network_reference28_gravity_kilometer_env2025_traffic2025_856707b5,91,98,1
