generation,fitness
1,2188529.4027591175
2,1454821.054761548
3,1454821.0546659948
4,1454821.054312312
5,1454821.053360856
6,1454821.0512546094
7,1454821.0471648413
8,1454821.0399367611
9,1454821.028035178
10,1454821.0094901558
11,1454820.981842671
12,1325640.2593431226
13,1325640.208855369
14,1325640.140198604
15,1325640.0488584032
16,1325639.9296277186
17,1325639.7765574052
18,944945.4953119346
19,944945.3233158564
20,944945.1110369947
21,944944.8517806132
22,944944.5381481922
23,944944.1620022402
24,944943.7144311038
25,944943.1857137796
26,944942.565284724
27,944941.8416986649
28,944941.0025954123
29,940166.680591848
30,940165.5749617225
31,940164.3116658676
32,940162.8744124497
33,940161.2458240965
34,940159.4074028799
35,940157.3394952985
36,940155.0212572597
37,940152.4306190632
38,940149.5442503835
39,940146.3375252514
40,940142.7844870382
41,940138.8578134372
42,940134.5287814469
43,940129.7672323531
44,940124.5415367126
45,940118.8185593343
46,940112.5636242628
47,940105.7404797612
48,940098.311263293
49,940090.2364665053
50,940081.4749002112
51,940071.9836593724
52,940061.7180880817
53,940050.6317445459
54,940038.6763660685
55,940025.8018340318
56,940011.9561388806
57,939997.0853451027
58,939981.1335562145
59,939964.0428797412
60,939945.7533921999
61,939926.2031040837
62,939905.327924842
63,939883.0616278655
64,939859.3358154668
65,939834.0798838645
66,939807.2209881644
67,939778.6840073442
68,939748.3915092334
69,939716.2637154987
70,939682.2184666245
71,939646.1711868969
72,939608.0348493849
73,939567.719940925
74,939525.1344271022
75,939480.1837172331
76,939432.7706293483
77,939382.7953551762
78,939330.1554251236
79,939274.7456732604
80,939216.4582023007
81,939155.1823485862
82,939090.8046470688
83,939023.2087962925
84,938952.2756233772
85,938877.8830490005
86,938799.9060523801
87,938718.2166362577
88,938632.68379188
89,938543.1734639823
90,938449.5485157714
91,938351.668693907
92,938249.3905934858
93,938142.5676230228
94,938031.0499694347
95,937914.684563023
96,937793.315042455
97,937666.7817197477
98,937534.9215452507
99,937397.5680726275
100,937254.5514238393
101,937105.6982541273
102,936950.8317169948
103,936789.7714291905
104,936622.3334356912
105,936448.3301746834
106,936267.5704425472
107,936079.8593588382
108,935884.9983312703
109,935682.7850206982
110,935473.0133061004
111,935255.473249561
112,935029.9510612538
113,934796.2290644229
114,934554.0856603674
115,934303.2952934228
116,934043.6284159434
117,933774.8514532859
118,933496.7267687912
119,933209.0126287681
120,932911.4631674741
121,932603.8283521002
122,932285.8539477516
123,931957.2814824315
124,931617.8482120233
125,931267.2870852735
126,930905.3267087742
127,930531.6913119452
128,930146.1007120174
129,929748.2702790153
130,929337.9109007389
131,928914.7289477476
132,928478.4262383415
133,928028.7000035448
134,927565.2428520885
135,927087.742735392
136,926595.8829125477
137,926089.341915301
138,925567.7935130359
139,925030.9066777545
140,924478.3455490621
141,923909.7693991495
142,923324.8325977732
143,922723.1845772419
144,922104.4697973955
145,921468.3277105906
146,920814.3927266808
147,920142.294178001
148,919451.6562843493
149,918742.0981179693
150,918013.2335685341
151,917264.6713081268
152,916496.014756225
153,915706.8620446827
154,914896.8059827129
155,914065.43402187
156,913212.328221033
157,912337.0652113877
158,911439.2161614095
159,910518.346741846
160,909574.0170906995
161,908605.78177821
162,907613.189771837
163,906595.7844012432
164,905553.1033232765
165,904484.6784869526
166,903390.0360984375
167,902268.6965860311
168,901120.1745651487
169,899943.9788033038
170,898739.6121850909
171,897506.5716771691
172,896244.3482932427
173,894952.4270590455
174,893630.2869773228
175,892277.4009928139
176,890893.2359572351
177,889477.2525942622
178,888028.9054645125
179,886547.642930529
180,885032.9071217608
181,883484.1338995479
182,881900.7528221026
183,880282.1871094919
184,878627.8536086212
185,876937.1627582161
186,875209.5185538055
187,873444.3185127035
188,871640.953638993
189,869798.8083885072
190,867917.2606338139
191,865995.6816291958
192,864033.4359756355
193,862029.8815857967
194,859984.3696490066
195,857896.2445962401
196,855764.8440651007
197,853589.4988648036
198,851369.5329411597
199,849104.2633415558
200,846793.0001799394
