generation,evaluation_id,conflict_index,actor_flight,strategy,pairs_before,pairs_after,points_before,points_after,accepted,rollback_reason
1,19532:1,33,23,schedule,60,58,69,67,True,
1,19532:2,25,23,schedule,60,58,69,67,True,
1,19532:2,33,23,reroute,58,57,67,66,True,
1,19532:2,34;35,24,reroute,57,57,66,66,False,same_pairs_points_not_decreased
1,19532:2,32,26,schedule,57,57,66,66,False,same_pairs_points_not_decreased
1,19532:2,8,26,speed,57,57,66,66,False,same_pairs_points_not_decreased
1,19532:2,18,27,speed,57,57,66,66,False,same_pairs_points_not_decreased
1,19532:2,29;41,29,speed,57,56,66,65,True,
1,19532:2,19,30,reroute,56,55,65,64,True,
1,19532:2,17,32,schedule,55,55,64,64,False,same_pairs_points_not_decreased
1,19532:2,48;53,33,schedule,55,54,64,63,True,
1,19532:2,43,35,reroute,54,53,63,62,True,
1,19532:2,55,36,schedule,53,51,62,60,True,
1,19532:2,56,36,reroute,51,51,60,60,False,same_pairs_points_not_decreased
1,19532:2,57,37,reroute,51,52,60,61,False,pairs_increased
1,19532:2,59,40,schedule,51,51,60,60,False,same_pairs_points_not_decreased
1,19532:2,4,40,speed,51,51,60,60,False,same_pairs_points_not_decreased
1,19532:2,60,43,schedule,51,51,60,60,False,same_pairs_points_not_decreased
1,19532:2,50,47,reroute,51,50,60,59,True,
1,19532:2,22;61,49,reroute,50,48,59,57,True,
1,19532:2,7,53,schedule,48,48,57,55,True,
1,19532:2,5;54,53,speed,48,48,55,55,False,same_pairs_points_not_decreased
1,19532:2,6,53,reroute,48,48,55,55,False,same_pairs_points_not_decreased
1,19532:2,11,54,reroute,48,47,55,54,True,
1,19532:2,62,55,speed,47,47,54,54,False,same_pairs_points_not_decreased
1,19532:2,46,56,schedule,47,45,54,51,True,
1,19532:2,20,56,speed,45,45,51,51,False,same_pairs_points_not_decreased
1,19532:2,45,56,reroute,45,45,51,51,False,same_pairs_points_not_decreased
1,19532:2,63,57,schedule,45,45,51,51,False,same_pairs_points_not_decreased
1,19532:2,64,57,speed,45,45,51,51,False,same_pairs_points_not_decreased
1,19532:2,23,57,reroute,45,45,51,51,False,same_pairs_points_not_decreased
1,19532:2,65,61,schedule,45,46,51,52,False,pairs_increased
1,19532:2,21,63,speed,45,45,51,51,False,same_pairs_points_not_decreased
1,19532:2,52,63,reroute,45,44,51,50,True,
1,19532:2,0,64,speed,44,44,50,50,False,same_pairs_points_not_decreased
1,19532:2,47,65,schedule,44,41,50,47,True,
1,19532:2,36,65,reroute,41,41,47,47,False,same_pairs_points_not_decreased
1,19532:2,49,66,schedule,41,40,47,46,True,
1,19532:2,38,67,schedule,40,39,46,45,True,
1,19532:2,66,68,speed,39,39,45,45,False,same_pairs_points_not_decreased
1,19532:2,39,73,schedule,39,37,45,42,True,
1,19532:2,31;40,73,reroute,37,37,42,42,False,same_pairs_points_not_decreased
1,19532:2,27,75,schedule,37,36,42,41,True,
1,19532:2,58,78,schedule,36,35,41,39,True,
1,19532:2,67,78,speed,35,35,39,39,False,same_pairs_points_not_decreased
1,19532:2,37;44,80,speed,35,35,39,39,False,same_pairs_points_not_decreased
1,19532:2,30;42,81,speed,35,35,39,39,False,same_pairs_points_not_decreased
1,19532:2,24,82,schedule,35,34,39,38,True,
1,19532:2,28,84,schedule,34,34,38,38,False,same_pairs_points_not_decreased
1,19532:2,12;15,85,schedule,34,32,38,33,True,
1,19532:2,3;14,85,speed,32,32,33,33,False,same_pairs_points_not_decreased
1,19532:2,13,85,reroute,32,32,33,33,False,same_pairs_points_not_decreased
1,19532:2,26,86,schedule,32,32,33,33,False,same_pairs_points_not_decreased
1,19532:2,51,89,speed,32,31,33,32,True,
1,19532:3,45;46,21,schedule,60,62,69,70,False,pairs_increased
1,19532:3,48,22,reroute,60,59,69,68,True,
1,19532:3,25;33,23,reroute,59,57,68,66,True,
1,19532:3,34,24,schedule,57,57,66,66,False,same_pairs_points_not_decreased
1,19532:3,35,24,speed,57,57,66,66,False,same_pairs_points_not_decreased
1,19532:3,32,26,schedule,57,59,66,68,False,pairs_increased
1,19532:3,8,26,reroute,57,55,66,64,True,
1,19532:3,18,27,schedule,55,54,64,63,True,
1,19532:3,51,27,speed,54,54,63,63,False,same_pairs_points_not_decreased
1,19532:3,41,29,schedule,54,51,63,59,True,
1,19532:3,29,29,speed,51,51,59,59,False,same_pairs_points_not_decreased
1,19532:3,19,30,schedule,51,49,59,57,True,
1,19532:3,43,30,reroute,49,49,57,57,False,same_pairs_points_not_decreased
1,19532:3,52,31,speed,49,49,57,57,False,same_pairs_points_not_decreased
1,19532:3,17,32,schedule,49,47,57,55,True,
1,19532:3,53,33,reroute,47,46,55,54,True,
1,19532:3,55;56,36,schedule,46,46,54,54,False,same_pairs_points_not_decreased
1,19532:3,57,37,speed,46,46,54,54,False,same_pairs_points_not_decreased
1,19532:3,47,38,speed,46,46,54,54,False,same_pairs_points_not_decreased
1,19532:3,4,40,schedule,46,46,54,68,False,same_pairs_points_not_decreased
1,19532:3,59,40,reroute,46,45,54,53,True,
1,19532:3,60,43,schedule,45,44,53,52,True,
1,19532:3,49,45,speed,44,44,52,52,False,same_pairs_points_not_decreased
1,19532:3,50,46,speed,44,44,52,52,False,same_pairs_points_not_decreased
1,19532:3,22,49,speed,44,44,52,52,False,same_pairs_points_not_decreased
1,19532:3,5;6,53,schedule,44,42,52,48,True,
1,19532:3,7;54,53,reroute,42,42,48,48,False,same_pairs_points_not_decreased
1,19532:3,11,54,reroute,42,41,48,47,True,
1,19532:3,20,56,speed,41,41,47,49,False,same_pairs_points_not_decreased
1,19532:3,23,57,speed,41,41,47,47,False,same_pairs_points_not_decreased
1,19532:3,21,63,schedule,41,39,47,45,True,
1,19532:3,0;44,64,reroute,39,38,45,44,True,
1,19532:3,36;62,65,speed,38,38,44,44,False,same_pairs_points_not_decreased
1,19532:3,38,67,schedule,38,38,44,44,False,same_pairs_points_not_decreased
1,19532:3,64,69,reroute,38,38,44,44,False,same_pairs_points_not_decreased
1,19532:3,40,73,schedule,38,37,44,43,True,
1,19532:3,31;39,73,reroute,37,38,43,44,False,pairs_increased
1,19532:3,27,75,speed,37,37,43,43,False,same_pairs_points_not_decreased
1,19532:3,58,78,reroute,37,38,43,43,False,pairs_increased
1,19532:3,37,80,speed,37,37,43,43,False,same_pairs_points_not_decreased
1,19532:3,30,81,speed,37,37,43,43,False,same_pairs_points_not_decreased
1,19532:3,42,81,reroute,37,36,43,42,True,
1,19532:3,24,82,schedule,36,34,42,40,True,
1,19532:3,63,82,speed,34,34,40,40,False,same_pairs_points_not_decreased
1,19532:3,28,84,speed,34,33,40,39,True,
1,19532:3,14,85,schedule,33,33,39,50,False,same_pairs_points_not_decreased
1,19532:3,12;13;15,85,speed,33,33,39,39,False,same_pairs_points_not_decreased
1,19532:3,3,85,reroute,33,32,39,35,True,
1,19532:3,26,86,schedule,32,31,35,34,True,
1,19532:3,65,88,schedule,31,31,34,34,False,same_pairs_points_not_decreased
1,19532:3,10,89,schedule,31,31,34,34,False,same_pairs_points_not_decreased
1,19532:3,16,92,schedule,31,32,34,35,False,pairs_increased
1,19532:3,9;61,92,reroute,31,29,34,32,True,
1,19532:3,1;2,96,reroute,29,29,32,32,False,same_pairs_points_not_decreased
2,19532:4,0,0,schedule,60,59,69,68,True,
2,19532:4,1;2;3,1,reroute,59,57,68,65,True,
2,19532:4,6;7;8,2,schedule,57,56,65,66,True,
2,19532:4,5,2,speed,56,56,66,62,True,
2,19532:4,10,3,reroute,56,55,62,61,True,
2,19532:4,12;13,5,schedule,55,55,61,58,True,
2,19532:4,14;15,5,speed,55,55,58,58,False,same_pairs_points_not_decreased
2,19532:4,16,6,reroute,55,55,58,58,False,same_pairs_points_not_decreased
2,19532:4,18,7,reroute,55,55,58,58,False,same_pairs_points_not_decreased
2,19532:4,19;20,8,schedule,55,54,58,57,True,
2,19532:4,21,9,schedule,54,54,57,57,False,same_pairs_points_not_decreased
2,19532:4,23,10,speed,54,54,57,57,False,same_pairs_points_not_decreased
2,19532:4,22,10,reroute,54,52,57,55,True,
2,19532:4,24,11,speed,52,52,55,55,False,same_pairs_points_not_decreased
2,19532:4,11,11,reroute,52,50,55,53,True,
2,19532:5,0,0,schedule,60,60,69,69,False,same_pairs_points_not_decreased
2,19532:5,3,1,schedule,60,59,69,67,True,
2,19532:5,2,1,speed,59,59,67,67,False,same_pairs_points_not_decreased
2,19532:5,1,1,reroute,59,59,67,67,False,same_pairs_points_not_decreased
2,19532:5,6;8,2,schedule,59,57,67,63,True,
2,19532:5,5,2,speed,57,57,63,63,False,same_pairs_points_not_decreased
2,19532:6,33,23,schedule,60,57,69,66,True,
2,19532:6,25,23,speed,57,57,66,66,False,same_pairs_points_not_decreased
2,19532:6,35,24,schedule,57,57,66,66,False,same_pairs_points_not_decreased
2,19532:6,34,24,reroute,57,57,66,66,False,same_pairs_points_not_decreased
2,19532:6,8,26,schedule,57,55,66,64,True,
2,19532:6,32,26,speed,55,56,64,65,False,pairs_increased
2,19532:6,18,27,speed,55,55,64,64,False,same_pairs_points_not_decreased
2,19532:6,41,29,schedule,55,53,64,72,True,
2,19532:6,29,29,reroute,53,53,72,78,False,same_pairs_points_not_decreased
2,19532:6,19,30,schedule,53,51,72,70,True,
2,19532:6,17,32,speed,51,51,70,70,False,same_pairs_points_not_decreased
2,19532:6,48,33,schedule,51,49,70,68,True,
