generation,evaluation_id,conflict_index,actor_flight,strategy,pairs_before,pairs_after,points_before,points_after,accepted,rollback_reason
1,16112:1,33,23,schedule,60,59,69,68,True,
1,16112:1,25,23,reroute,59,58,68,67,True,
1,16112:1,35,24,schedule,58,58,67,67,False,same_pairs_points_not_decreased
1,16112:1,34,24,speed,58,59,67,68,False,pairs_increased
1,16112:1,8;32,26,speed,58,57,67,66,True,
1,16112:1,18,27,speed,57,57,66,66,False,same_pairs_points_not_decreased
1,16112:1,29,29,speed,57,57,66,66,False,same_pairs_points_not_decreased
1,16112:1,41,29,reroute,57,54,66,62,True,
1,16112:1,19,30,schedule,54,52,62,60,True,
1,16112:1,17,32,speed,52,52,60,60,False,same_pairs_points_not_decreased
1,16112:1,48,33,reroute,52,51,60,59,True,
1,16112:1,43,35,schedule,51,51,59,59,False,same_pairs_points_not_decreased
1,16112:2,25;33,23,schedule,60,59,69,73,True,
1,16112:2,34,24,schedule,59,58,73,72,True,
1,16112:2,35,24,reroute,58,59,72,73,False,pairs_increased
1,16112:2,8;32,26,speed,58,58,72,72,False,same_pairs_points_not_decreased
1,16112:2,18,27,schedule,58,61,72,75,False,pairs_increased
1,16112:2,41,29,schedule,58,58,72,73,False,same_pairs_points_not_decreased
1,16112:2,29,29,speed,58,58,72,72,False,same_pairs_points_not_decreased
1,16112:2,19,30,reroute,58,57,72,71,True,
1,16112:2,17,32,reroute,57,57,71,77,False,same_pairs_points_not_decreased
1,16112:2,48,33,speed,57,57,71,71,False,same_pairs_points_not_decreased
1,16112:2,43,35,schedule,57,58,71,73,False,pairs_increased
1,16112:2,4,40,schedule,57,57,71,71,False,same_pairs_points_not_decreased
1,16112:2,60,44,schedule,57,57,71,71,False,same_pairs_points_not_decreased
1,16112:2,57,44,speed,57,57,71,71,False,same_pairs_points_not_decreased
1,16112:2,50,47,speed,57,57,71,71,False,same_pairs_points_not_decreased
1,16112:2,53,48,schedule,57,60,71,74,False,pairs_increased
1,16112:2,22,49,schedule,57,55,71,69,True,
1,16112:2,7,53,schedule,55,53,69,65,True,
1,16112:2,5,53,speed,53,53,65,65,False,same_pairs_points_not_decreased
1,16112:2,6,53,reroute,53,53,65,65,False,same_pairs_points_not_decreased
1,16112:2,11,54,reroute,53,53,65,65,False,same_pairs_points_not_decreased
1,16112:2,46,56,speed,53,53,65,67,False,same_pairs_points_not_decreased
1,16112:2,20;45,56,reroute,53,52,65,63,True,
1,16112:2,23,57,schedule,52,49,63,60,True,
1,16112:2,21;52,63,schedule,49,47,60,58,True,
1,16112:2,0;54,64,schedule,47,45,58,56,True,
1,16112:2,47;59;62,65,schedule,45,43,56,56,True,
1,16112:2,36,65,speed,43,42,56,53,True,
1,16112:2,49,66,schedule,42,43,53,54,False,pairs_increased
1,16112:2,38,67,schedule,42,42,53,53,False,same_pairs_points_not_decreased
1,16112:2,64,69,speed,42,42,53,53,False,same_pairs_points_not_decreased
1,16112:2,40,73,schedule,42,41,53,51,True,
1,16112:2,39,73,speed,41,41,51,51,False,same_pairs_points_not_decreased
1,16112:2,31,73,reroute,41,42,51,52,False,pairs_increased
1,16112:2,27,75,schedule,41,40,51,50,True,
1,16112:2,37;44,80,speed,40,40,50,50,False,same_pairs_points_not_decreased
1,16112:2,30,81,schedule,40,38,50,43,True,
