run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,392,1,97,72.0,4,6,6,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,392,2,4,60.0,6,8,8,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,392,3,65,60.0,7,29,29,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,392,4,54,56.0,5,7,7,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,392,5,45,52.0,5,6,6,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,392,6,30,45.0,4,8,8,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,392,7,64,34.0,3,4,4,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,392,8,21,33.0,4,4,4,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,392,9,50,33.0,4,8,8,81
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,392,10,2,32.0,5,24,24,81
