run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,281,1,4,36.0,5,5,5,39
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,281,2,45,33.0,4,5,5,39
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,281,3,67,33.0,4,5,5,39
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,281,4,41,30.0,3,3,3,39
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,281,5,46,27.0,4,5,5,39
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,281,6,92,27.0,4,4,4,39
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,281,7,13,22.0,3,3,3,39
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,281,8,61,20.0,5,10,10,39
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,281,9,81,20.0,3,5,5,39
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,281,10,50,15.0,4,4,4,39
