flight_id,degree,collective_influence,conflict_point_involvement,is_ci_top10
0,1,0.0,2,False
1,4,27.0,4,True
2,3,14.0,23,False
3,3,14.0,3,False
4,0,0.0,0,False
5,0,0.0,0,False
6,2,2.0,7,False
7,1,0.0,2,False
8,1,0.0,2,False
9,2,12.0,2,False
10,0,0.0,0,False
11,2,9.0,2,False
12,1,0.0,1,False
13,2,6.0,3,False
14,3,0.0,22,False
15,4,42.0,4,True
16,3,0.0,3,False
17,2,0.0,3,False
18,0,0.0,0,False
19,1,0.0,1,False
20,4,27.0,4,True
21,1,0.0,1,False
22,1,0.0,2,False
23,2,3.0,8,False
24,1,0.0,5,False
25,0,0.0,0,False
26,1,0.0,1,False
27,0,0.0,0,False
28,2,8.0,2,False
29,0,0.0,0,False
30,0,0.0,0,False
31,1,0.0,1,False
32,1,0.0,1,False
33,1,0.0,15,False
34,5,28.0,7,True
35,0,0.0,0,False
36,1,0.0,9,False
37,0,0.0,0,False
38,2,0.0,2,False
39,0,0.0,0,False
40,2,0.0,3,False
41,1,0.0,1,False
42,1,0.0,1,False
43,2,8.0,5,False
44,3,20.0,17,True
45,0,0.0,0,False
46,4,54.0,7,True
47,1,0.0,1,False
48,2,4.0,3,False
49,1,0.0,1,False
50,1,0.0,1,False
51,0,0.0,0,False
52,0,0.0,0,False
53,1,0.0,1,False
54,1,0.0,1,False
55,1,0.0,1,False
56,0,0.0,0,False
57,4,18.0,5,False
58,2,5.0,8,False
59,3,14.0,28,False
60,3,18.0,3,False
61,2,8.0,2,False
62,4,51.0,7,True
63,3,18.0,6,False
64,1,0.0,1,False
65,2,5.0,3,False
66,0,0.0,0,False
67,1,0.0,1,False
68,5,32.0,5,True
69,2,0.0,3,False
70,2,1.0,2,False
71,1,0.0,1,False
72,2,1.0,21,False
73,2,3.0,26,False
74,2,9.0,7,False
75,1,0.0,2,False
76,2,0.0,2,False
77,1,0.0,2,False
78,3,18.0,4,False
79,2,5.0,2,False
80,1,0.0,1,False
81,2,5.0,2,False
82,1,0.0,2,False
83,1,0.0,1,False
84,2,2.0,2,False
85,2,3.0,2,False
86,1,0.0,1,False
87,1,0.0,6,False
88,3,6.0,23,False
89,3,8.0,7,False
90,1,0.0,1,False
91,1,0.0,1,False
92,1,0.0,1,False
93,6,50.0,9,True
94,4,24.0,12,True
95,2,3.0,4,False
96,0,0.0,0,False
97,2,17.0,2,False
98,0,0.0,0,False
99,1,0.0,9,False
