run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,494,1,1,100.0,6,6,6,120
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,494,2,34,96.0,5,12,12,120
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,494,3,37,96.0,7,18,18,120
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,494,4,40,80.0,6,8,8,120
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,494,5,84,66.0,4,4,4,120
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,494,6,3,64.0,5,32,32,120
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,494,7,29,57.0,4,4,4,120
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,494,8,30,48.0,5,38,38,120
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,494,9,64,48.0,4,9,9,120
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,494,10,80,48.0,3,6,6,120
