key_ratio,K,optimizer_seed,remaining_conflicts,delayed_flight_count,runtime_sec,final_fitness,risk_increase_percent,key_conflict_point_coverage,key_conflict_pair_coverage,stage1_remaining_conflicts,stage2_remaining_conflicts,stage1_changed_flights,stage2_changed_flights,total_changed_flights,stage1_runtime,stage2_runtime,stage1_best_fitness,stage2_executed,stage1_dimension,stage2_dimension
0.18,18,0,17,19,57.56957929999771,718920.021826586,0.5486882673349842,0.6261682242990654,0.5277777777777778,52,17,18,38,50,23.50141349999467,34.04718159999902,2194584.041393342,True,993,1011
0.18,18,1,10,19,60.22416879999946,428878.79233680206,0.07473333824368066,0.6261682242990654,0.5277777777777778,43,10,18,34,50,25.15507190000062,35.04883069999778,1821136.3173066962,True,993,826
0.18,18,2,9,25,60.12992239999585,387475.5959991876,1.312644260259431,0.6261682242990654,0.5277777777777778,48,9,18,28,44,24.830412400006026,35.27821150000091,2028231.009053875,True,993,924
