algorithm,min,mean,std
ga,0.7527744049165704,666667.4213292026,577350.2708247952
improved_fata,0.752319989048281,333334.0871254767,577350.2706728266
original_fata,0.7547472094320207,666667.4229391551,577350.2705105562
pso,0.7572603631067185,673334.0903366059,583123.7716588752
