run_id,traffic_seed,rank,flight_id,collective_influence,degree,conflict_point_involvement,conflict_pair_involvement,top10_union_conflict_points
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,17,1,8,108.0,7,9,9,38
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,17,2,6,60.0,5,6,6,38
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,17,3,81,60.0,6,9,9,38
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,17,4,22,32.0,3,3,3,38
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,17,5,37,30.0,3,5,5,38
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,17,6,38,30.0,3,4,4,38
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,17,7,41,24.0,3,4,4,38
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,17,8,59,24.0,4,5,5,38
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,17,9,60,22.0,3,5,5,38
20260912_215351_529_traffic_scan_env2025_seed0-499_48352cd1,17,10,4,16.0,3,3,3,38
