flight_id,degree,weighted_degree,degree_centrality,closeness,betweenness,pagerank,collective_influence,weighted_collective_influence
41,5,5,0.05050505050505051,0.10377358490566037,0.04700061842918986,0.01980587196484106,56.0,135.0
62,4,5,0.04040404040404041,0.11458333333333333,0.060399917542774684,0.016580748760354376,45.0,135.0
18,4,4,0.04040404040404041,0.09166666666666667,0.016594516594516592,0.015372367840269036,33.0,76.0
64,4,5,0.04040404040404041,0.09401709401709402,0.03463203463203463,0.01790279307623082,33.0,105.0
83,5,6,0.05050505050505051,0.09734513274336283,0.03978561121418264,0.022925226309407142,32.0,78.0
4,3,4,0.030303030303030304,0.10679611650485438,0.047206761492475775,0.013349281158357231,26.0,100.0
16,4,5,0.04040404040404041,0.08527131782945736,0.01525458668315811,0.016754385711748174,21.0,60.0
80,3,3,0.030303030303030304,0.08661417322834644,0.011337868480725623,0.012112939911280875,16.0,51.0
49,4,4,0.04040404040404041,0.060966810966810975,0.009482580911152338,0.019112930118512735,15.0,44.0
3,3,3,0.030303030303030304,0.0846153846153846,0.008658008658008658,0.012365155550858936,14.0,39.0
56,3,4,0.030303030303030304,0.08661417322834644,0.02453102453102453,0.015358379473901368,14.0,48.0
78,3,4,0.030303030303030304,0.07971014492753623,0.0011337868480725624,0.011900247410738212,14.0,40.0
57,3,3,0.030303030303030304,0.051729415365779005,0.006390434961863533,0.014961457403842991,12.0,27.0
92,3,3,0.030303030303030304,0.0533459595959596,0.0037105751391465673,0.01512834468709871,12.0,30.0
65,4,4,0.04040404040404041,0.05020796197266786,0.006596578025149453,0.019042134886731673,9.0,24.0
28,2,2,0.020202020202020204,0.09166666666666667,0.0,0.0090909576327282,8.0,28.0
31,3,3,0.030303030303030304,0.08029197080291971,0.02473716759431045,0.015538138925999043,8.0,33.0
89,3,4,0.030303030303030304,0.07051282051282051,0.012780869923727066,0.013296938518962373,8.0,28.0
10,2,2,0.020202020202020204,0.05506679700228088,0.00494743351886209,0.009970850339328223,7.0,24.0
97,2,3,0.020202020202020204,0.0728476821192053,0.0,0.008308704206130649,6.0,24.0
27,2,2,0.020202020202020204,0.05913978494623656,0.006596578025149453,0.010736064711233118,5.0,16.0
32,2,2,0.020202020202020204,0.06586826347305388,0.006596578025149453,0.01173061402489863,5.0,16.0
53,2,4,0.020202020202020204,0.07692307692307693,0.018552875695732836,0.010268881237817152,5.0,40.0
63,2,2,0.020202020202020204,0.06586826347305388,0.006596578025149453,0.01173061402489863,5.0,16.0
69,2,2,0.020202020202020204,0.04877344877344878,0.0016491445062873633,0.010195692945159937,5.0,18.0
2,2,4,0.020202020202020204,0.06432748538011696,0.012780869923727066,0.011280935142139988,3.0,24.0
38,2,2,0.020202020202020204,0.03793490460157127,0.0,0.009942317992623437,3.0,10.0
40,2,2,0.020202020202020204,0.03793490460157127,0.0,0.009942317992623437,3.0,10.0
81,2,2,0.020202020202020204,0.028058361391694726,0.0008245722531436817,0.011797409848465142,3.0,14.0
8,2,2,0.020202020202020204,0.07096774193548386,0.012780869923727066,0.011262463063098622,2.0,14.0
11,2,2,0.020202020202020204,0.03347197464844524,0.002473716759431045,0.012227653377258894,2.0,6.0
13,2,2,0.020202020202020204,0.02693602693602694,0.0006184291898577612,0.011837354834444546,2.0,8.0
29,3,4,0.030303030303030304,0.03156565656565657,0.0008245722531436817,0.015866610508444127,2.0,8.0
30,2,2,0.020202020202020204,0.05945945945945946,0.006596578025149453,0.01233215491562724,2.0,8.0
82,2,2,0.020202020202020204,0.04163587090416359,0.0045351473922902496,0.011105938979158812,2.0,10.0
15,2,2,0.020202020202020204,0.023088023088023088,0.0,0.010680500652780998,1.0,4.0
24,2,2,0.020202020202020204,0.023088023088023088,0.0,0.010680500652780998,1.0,4.0
26,2,2,0.020202020202020204,0.05472636815920398,0.006596578025149453,0.012343564023106513,1.0,8.0
36,2,2,0.020202020202020204,0.023088023088023088,0.0006184291898577612,0.013695987386051909,1.0,4.0
70,2,15,0.020202020202020204,0.023088023088023088,0.0006184291898577612,0.013695987386051909,1.0,30.0
73,2,3,0.020202020202020204,0.028058361391694726,0.0,0.010611311591104275,1.0,9.0
88,2,2,0.020202020202020204,0.023088023088023088,0.0006184291898577612,0.013695987386051909,1.0,30.0
99,2,2,0.020202020202020204,0.023088023088023088,0.0006184291898577612,0.013695987386051909,1.0,4.0
0,1,1,0.010101010101010102,0.0738255033557047,0.0,0.0054746143243039015,0.0,11.0
1,2,3,0.020202020202020204,0.022727272727272728,0.00041228612657184083,0.014457078107294963,0.0,12.0
5,1,4,0.010101010101010102,0.015151515151515152,0.0,0.007814636814754033,0.0,12.0
6,1,1,0.010101010101010102,0.03879706152433426,0.0,0.005956708831969485,0.0,6.0
7,1,1,0.010101010101010102,0.05045871559633028,0.0,0.006233191618652201,0.0,4.0
9,1,1,0.010101010101010102,0.055276381909547735,0.0,0.006655657373829781,0.0,3.0
12,0,0,0.0,0.0,0.0,0.001670378619153675,0.0,0.0
14,3,3,0.030303030303030304,0.03607503607503607,0.0012368583797155224,0.01568962057059325,0.0,6.0
17,1,1,0.010101010101010102,0.07586206896551724,0.0,0.005567581416646832,0.0,11.0
19,1,1,0.010101010101010102,0.021043771043771045,0.0,0.006165917428452689,0.0,6.0
20,1,1,0.010101010101010102,0.047210300429184546,0.0,0.006916535523358016,0.0,4.0
21,1,2,0.010101010101010102,0.06918238993710692,0.0,0.0060216692371256415,0.0,12.0
22,1,1,0.010101010101010102,0.01346801346801347,0.0,0.008575727535997092,0.0,1.0
23,3,3,0.030303030303030304,0.03232323232323233,0.0008245722531436817,0.015779678088939368,0.0,3.0
25,0,0,0.0,0.0,0.0,0.001670378619153675,0.0,0.0
33,2,2,0.020202020202020204,0.020202020202020204,0.00020614306328592042,0.01625611731107932,0.0,0.0
34,1,1,0.010101010101010102,0.010101010101010102,0.0,0.011135857461024497,0.0,0.0
35,1,1,0.010101010101010102,0.05069124423963134,0.0,0.006911172445126655,0.0,2.0
37,1,1,0.010101010101010102,0.01346801346801347,0.0,0.008575727535997092,0.0,1.0
39,1,1,0.010101010101010102,0.019425019425019424,0.0,0.006684274819087511,0.0,3.0
42,0,0,0.0,0.0,0.0,0.001670378619153675,0.0,0.0
43,1,1,0.010101010101010102,0.01346801346801347,0.0,0.008575727535997092,0.0,1.0
44,2,2,0.020202020202020204,0.020202020202020204,0.00020614306328592042,0.01625611731107932,0.0,0.0
45,1,1,0.010101010101010102,0.010101010101010102,0.0,0.011135857461024497,0.0,0.0
46,1,1,0.010101010101010102,0.010101010101010102,0.0,0.011135857461024497,0.0,0.0
47,1,1,0.010101010101010102,0.010101010101010102,0.0,0.011135857461024497,0.0,0.0
48,1,1,0.010101010101010102,0.01346801346801347,0.0,0.008575727535997092,0.0,1.0
50,0,0,0.0,0.0,0.0,0.001670378619153675,0.0,0.0
51,0,0,0.0,0.0,0.0,0.001670378619153675,0.0,0.0
52,1,21,0.010101010101010102,0.01346801346801347,0.0,0.008575727535997092,0.0,21.0
54,1,1,0.010101010101010102,0.027096360429693763,0.0,0.00686695486596836,0.0,2.0
55,1,1,0.010101010101010102,0.03711023276240668,0.0,0.00571683580792852,0.0,8.0
58,1,1,0.010101010101010102,0.06832298136645962,0.0,0.005230674994990632,0.0,12.0
